it Lat Snode Dispersal DRate Enode Establish ERate
2001 Tmp 212 16 0.00680149908865757 235 39 0.0142591817613512
2001 Trp 1125 46 0.00263921685286843 1102 23 0.00134923035045927
2011 Tmp 211 22 0.00957795188215908 236 47 0.0170354738007461
2011 Trp 1131 70 0.00395609542903137 1106 45 0.00261138917885261
2021 Tmp 274 40 0.0118506965581684 271 37 0.0108263895662596
2021 Trp 1072 50 0.00301601097755998 1075 53 0.00320513928026447
2031 Tmp 205 14 0.0062427878381976 234 43 0.0157388504519319
2031 Trp 1133 54 0.00307307411708031 1104 25 0.00146348807760358
2041 Tmp 213 18 0.00764361065712369 236 41 0.0147871043689713
2041 Trp 1126 48 0.00275494974508604 1103 25 0.00147012063609886
2051 Tmp 203 15 0.00706641323964881 233 45 0.0168889600660558
2051 Trp 1138 46 0.00261239690806411 1108 16 0.000937503358569161
2061 Tmp 208 18 0.00766145000734786 236 46 0.016443776401332
2061 Trp 1134 64 0.00365981563911688 1106 36 0.00211277110177622
2071 Tmp 229 23 0.00877585825952597 247 41 0.0140235098567548
2071 Trp 1110 65 0.00377499097178096 1092 47 0.00277847589185008
2081 Tmp 191 16 0.0082378141407079 229 54 0.0210129840921418
2081 Trp 1154 69 0.00384672105182 1116 31 0.00179089531118706
2091 Tmp 228 21 0.0084427809557187 247 40 0.0138949924814456
2091 Trp 1111 42 0.00243302434084861 1092 23 0.00136328100604054
2101 Tmp 204 14 0.00620739898104393 237 47 0.0171125810235654
2101 Trp 1137 46 0.00263044930166824 1104 13 0.000764869543693829
2111 Tmp 216 20 0.00903306546613252 236 40 0.0149642851614756
2111 Trp 1124 49 0.0027973348758022 1104 29 0.00170010902610414
2121 Tmp 216 21 0.00880474851323855 239 44 0.0156983745986784
2121 Trp 1124 55 0.00317067064332194 1101 32 0.00189027803067048
2131 Tmp 198 14 0.00679899102584663 230 46 0.0178249721729903
2131 Trp 1142 55 0.00308554311929228 1110 23 0.0013292075723533
2141 Tmp 216 20 0.00848117313249079 240 44 0.0157605736748523
2141 Trp 1126 69 0.00394673459286252 1102 45 0.00263942080611769
2151 Tmp 212 21 0.00903961623437077 240 49 0.0172503087123168
2151 Trp 1132 72 0.00411541079798865 1104 44 0.00259162050067732
2161 Tmp 195 15 0.00736978266523203 227 47 0.0183879271771496
2161 Trp 1148 63 0.00353123280741887 1116 31 0.00178982716771021
2171 Tmp 201 12 0.0055304109660141 234 45 0.0167440775760407
2171 Trp 1139 58 0.00329437553807302 1106 25 0.00146300917769545
2181 Tmp 236 29 0.0113541348169726 251 44 0.0150707507439852
2181 Trp 1109 61 0.00353571545110514 1094 46 0.0027239739325013
2191 Tmp 207 16 0.00738623812408608 235 44 0.0163931456651482
2191 Trp 1133 42 0.00239018939510263 1105 14 0.000820923158634917
2201 Tmp 215 18 0.00757573980018965 240 43 0.015304455873998
2201 Trp 1125 52 0.00299236118851752 1100 27 0.00159348934004581
2211 Tmp 202 14 0.00634676285989704 233 45 0.0164825582310514
2211 Trp 1139 51 0.00291042111809014 1108 20 0.00117654481153365
2221 Tmp 222 27 0.0110930562946333 244 49 0.0173580458698796
2221 Trp 1121 50 0.00289233052789975 1099 28 0.00165698571127594
2231 Tmp 210 16 0.00697891770808966 234 40 0.014795389400094
2231 Trp 1128 45 0.00258071276212689 1104 21 0.00123339922494212
2241 Tmp 223 21 0.00857417167642588 241 39 0.0138803278704278
2241 Trp 1115 40 0.00230628777076707 1097 22 0.00129538455822627
2251 Tmp 236 26 0.0102939592289651 250 40 0.013862162351081
2251 Trp 1102 63 0.00365590988820598 1088 49 0.00290412143666146
2261 Tmp 195 13 0.00647137036628788 230 48 0.0186097083871102
2261 Trp 1145 55 0.00309965312356175 1110 20 0.00116458699450382
2271 Tmp 203 13 0.00612797621692834 233 43 0.0162870927197277
2271 Trp 1135 55 0.00312026386742181 1105 25 0.00146130421494942
2281 Tmp 216 21 0.00892246267133192 242 47 0.0166461707148002
2281 Trp 1128 53 0.00304856551062506 1102 27 0.00159618202850063
2291 Tmp 220 24 0.010017755762498 242 46 0.016561416345575
2291 Trp 1122 63 0.00363007057095565 1100 41 0.00241556702848597
2301 Tmp 199 15 0.006955499744368 231 47 0.0174733651867948
2301 Trp 1142 64 0.00362119251534886 1110 32 0.00186692396376258
2311 Tmp 206 19 0.00858384404984172 233 46 0.0167849298463184
2311 Trp 1136 59 0.00336509348182125 1109 32 0.00188170516516956
2321 Tmp 206 22 0.00984407642936465 235 51 0.0182920650447541
2321 Trp 1140 77 0.00435074487025867 1111 48 0.00279967106846595
2331 Tmp 209 15 0.00670431016144736 236 42 0.0152814719422315
2331 Trp 1131 65 0.00369050224075143 1104 38 0.00222199882479932
2341 Tmp 220 20 0.00783109646807447 243 43 0.0147914580451188
2341 Trp 1122 44 0.00254250958345797 1099 21 0.00123874996254544
2351 Tmp 237 28 0.00989829783550085 254 45 0.0143995036203112
2351 Trp 1108 50 0.00294348468964182 1091 33 0.00197719273122316
2361 Tmp 205 19 0.0087154525452978 233 47 0.0173892094387186
2361 Trp 1137 47 0.00267524668961722 1109 19 0.00111465168315611
2371 Tmp 205 22 0.0099797392467873 238 55 0.0195466412099267
2371 Trp 1140 67 0.0038074856240967 1107 34 0.00200146006205421
2381 Tmp 220 22 0.00913203102282938 242 44 0.0156903782569171
2381 Trp 1120 66 0.00380242760697127 1098 44 0.00259400792366698
2391 Tmp 222 24 0.00923705239993296 244 46 0.0153702611311586
2391 Trp 1123 60 0.00346353143084217 1101 38 0.00224469562167538
2401 Tmp 199 19 0.00929373073466176 230 50 0.0194173016888066
2401 Trp 1140 66 0.00372748185409437 1109 35 0.00203776390520097
2411 Tmp 201 15 0.00700543556649409 233 47 0.0176554554067795
2411 Trp 1137 52 0.00296051879137477 1105 20 0.00117345984465877
2421 Tmp 228 21 0.008486853662619 245 38 0.0133845771732732
2421 Trp 1109 39 0.00226035198837771 1092 22 0.00130260167674893
2431 Tmp 215 21 0.00928223341929347 238 44 0.0163384626278771
2431 Trp 1126 53 0.00301986619566547 1103 30 0.00175235679973508
2441 Tmp 221 19 0.00791182609608029 243 41 0.0144813955559836
2441 Trp 1119 58 0.003321711418003 1097 36 0.00211377658890903
