it Lat Snode Dispersal DRate Enode Establish ERate
2001 Tmp 201 18 0.0119984670358566 234 51 0.0275991530079699
2001 Trp 1144 106 0.00909235291210349 1111 73 0.00645420411130982
2011 Tmp 223 23 0.0144788595745142 243 43 0.0233884071851526
2011 Trp 1119 72 0.00629852579515956 1099 52 0.004650642162539
2021 Tmp 213 17 0.0111339105947241 236 40 0.0220836361793484
2021 Trp 1125 55 0.00479534987814736 1102 32 0.00286097051025018
2031 Tmp 212 19 0.0131712338446295 237 44 0.0247231375924896
2031 Trp 1126 51 0.00442259616112576 1101 26 0.00232256571235471
2041 Tmp 202 14 0.00950588807947987 234 46 0.0255824813303431
2041 Trp 1137 54 0.00469726696399716 1105 22 0.00196943569649058
2051 Tmp 198 16 0.0113837928322454 231 49 0.0275798129604065
2051 Trp 1145 83 0.00710870386516037 1112 50 0.00442294983255645
2061 Tmp 211 16 0.0105185647144964 237 42 0.0232087130526302
2061 Trp 1129 43 0.00374229547988305 1103 17 0.00151762289044689
2071 Tmp 226 18 0.0106540000549746 244 36 0.0190933780961318
2071 Trp 1111 40 0.00354344151362475 1093 22 0.00198332269668957
2081 Tmp 221 20 0.0122153011445673 243 42 0.0217817259414892
2081 Trp 1124 66 0.00574877817478568 1102 44 0.00393216326696959
2091 Tmp 208 17 0.011253027416032 236 45 0.0247067668455053
2091 Trp 1132 63 0.00544849008804487 1104 35 0.00311050899979215
2101 Tmp 212 18 0.0114024049002215 239 45 0.0239858035384502
2101 Trp 1131 79 0.00685766263533161 1104 52 0.00463356324760511
2111 Tmp 197 14 0.010300190593991 231 48 0.0272178257479356
2111 Trp 1147 52 0.00445013245960044 1113 18 0.00159564658479935
2121 Tmp 196 16 0.0120790206055295 229 49 0.0289283912565626
2121 Trp 1144 63 0.00540016746814204 1111 30 0.00265555397372959
2131 Tmp 211 16 0.0103018562016497 238 43 0.0236957061559182
2131 Trp 1127 51 0.00447665884469517 1100 24 0.00215616600649426
2141 Tmp 228 22 0.0123136610061215 246 40 0.0203367497310363
2141 Trp 1113 55 0.00490121124670814 1095 37 0.00335100405804925
2151 Tmp 211 18 0.0119139227027343 239 46 0.0250703928944228
2151 Trp 1132 58 0.00504099302763619 1104 30 0.00268296158640308
2161 Tmp 203 22 0.0138783070696376 236 55 0.0291712995994303
2161 Trp 1142 68 0.0059540819346677 1109 35 0.00314733220236627
2171 Tmp 213 20 0.0128319160713542 239 46 0.0250698203352523
2171 Trp 1127 91 0.00791779579575481 1101 65 0.00579486063106479
2181 Tmp 213 22 0.0131138012272837 240 49 0.0252501139733461
2181 Trp 1132 86 0.00748569861805257 1105 59 0.00525583898469811
2191 Tmp 200 17 0.0123821882586082 234 51 0.0290894097573957
2191 Trp 1144 67 0.00576114992767181 1110 33 0.00293350354981162
2201 Tmp 213 13 0.00846102426406654 239 39 0.0211806131903197
2201 Trp 1125 42 0.00365896934805314 1099 16 0.00143192203036269
2211 Tmp 213 22 0.0133221298258507 241 50 0.0256951560450253
2211 Trp 1135 78 0.00674047608443529 1107 50 0.00443365452387256
2221 Tmp 206 18 0.0120239383385989 233 45 0.0249933201880503
2221 Trp 1133 48 0.00417432445800013 1106 21 0.001875770544935
2231 Tmp 209 17 0.0115043077474326 238 46 0.0253579335718501
2231 Trp 1133 59 0.00514079655695001 1104 30 0.00269287733121872
2241 Tmp 220 25 0.0161787431425285 241 46 0.0252695953039017
2241 Trp 1124 51 0.00445862059794008 1103 30 0.00268735733511622
2251 Tmp 218 14 0.00882645425022742 243 39 0.0209339209352537
2251 Trp 1121 44 0.00384891581199123 1096 19 0.00170328328841879
2261 Tmp 198 17 0.0119609487967753 231 50 0.0280909704842358
2261 Trp 1146 76 0.00648714907688006 1113 43 0.00378626766161389
2271 Tmp 215 17 0.0109828958517505 243 45 0.0238248322727175
2271 Trp 1128 55 0.00480152621249334 1100 27 0.00242941930814705
2281 Tmp 195 12 0.00878381217785232 226 43 0.0251196439880484
2281 Trp 1143 50 0.00430446089523156 1112 19 0.00168586209747384
2291 Tmp 207 15 0.0105266777225088 233 41 0.023154935399368
2291 Trp 1134 54 0.00465323657351151 1108 28 0.00248687816079988
2301 Tmp 206 17 0.0116066313149842 238 49 0.0264278994048437
2301 Trp 1138 79 0.00678389939003053 1106 47 0.00417562552713224
2311 Tmp 216 21 0.0133708893174591 242 47 0.0252162885570934
2311 Trp 1129 68 0.00591027117870921 1103 42 0.00374595443810565
2321 Tmp 240 26 0.0141088795584698 249 35 0.0176485634451321
2321 Trp 1098 47 0.00418759770593736 1089 38 0.00342859238660287
2331 Tmp 198 18 0.0125325160873094 231 51 0.0289982856099829
2331 Trp 1143 72 0.00621603039053104 1110 39 0.00346343592484001
2341 Tmp 228 21 0.011994072769119 246 39 0.0201488412989044
2341 Trp 1112 53 0.00469949344574236 1094 35 0.00315511987893801
2351 Tmp 198 11 0.0078995859500248 231 44 0.0254260922599222
2351 Trp 1139 54 0.00466320752275746 1106 21 0.0018679976026713
2361 Tmp 230 26 0.0148979653679662 248 44 0.0228536858364786
2361 Trp 1112 52 0.00462728275272898 1094 34 0.00307480542948445
2371 Tmp 210 17 0.0111379582859941 236 43 0.024009423464199
2371 Trp 1130 49 0.00427304350368787 1104 23 0.0020530975665039
2381 Tmp 221 20 0.0116001479575672 240 39 0.0202456758253821
2381 Trp 1121 65 0.00570202523266364 1102 46 0.00410815626446617
2391 Tmp 201 12 0.00844739959668102 232 43 0.0243752405478408
2391 Trp 1137 49 0.00423806256089895 1106 18 0.0016045129960186
2401 Tmp 204 18 0.0121422237283377 234 48 0.0267529214294705
2401 Trp 1139 65 0.00562185887549222 1109 35 0.00311104315652631
2411 Tmp 212 21 0.01419183467183 237 46 0.0255617052047947
2411 Trp 1127 60 0.00523632711124929 1102 35 0.00314223447744223
2421 Tmp 206 20 0.0133026528884364 234 48 0.0263772093986778
2421 Trp 1136 74 0.0063956415228296 1108 46 0.00408740423340223
2431 Tmp 230 26 0.0153375150104499 248 44 0.0236385361594725
2431 Trp 1111 54 0.0048085662410604 1093 36 0.00325386046418055
2441 Tmp 207 17 0.0118463366517454 236 46 0.0258041946687406
2441 Trp 1135 59 0.00508391286896154 1106 30 0.00266486138675885
2451 Tmp 208 20 0.013124781775894 235 47 0.0257353066491148
2451 Trp 1132 71 0.00613144175725223 1105 44 0.0039016748622494
2461 Tmp 200 17 0.0119761852148041 226 43 0.0253789406353291
2461 Trp 1140 46 0.00397538449044639 1114 20 0.00177047972516469
2471 Tmp 245 28 0.0145208712008267 257 40 0.0196278666401089
2471 Trp 1097 46 0.0041689131429118 1085 34 0.00311230163084649
2481 Tmp 218 32 0.0195828025284666 247 61 0.0306865839432158
2481 Trp 1140 97 0.00824872268822555 1111 68 0.00596196065048122
2491 Tmp 216 20 0.0125511860114572 240 44 0.0234801641294424
2491 Trp 1125 56 0.00486774936952108 1101 32 0.0028510734654753
2501 Tmp 204 18 0.0118912298896263 234 48 0.0265068088150248
2501 Trp 1136 64 0.00555045352086195 1106 34 0.0030266735970869
2511 Tmp 196 11 0.00808890001137152 229 44 0.0256116192931746
2511 Trp 1142 60 0.00515271786045492 1109 27 0.00239228975771078
2521 Tmp 205 17 0.0112238067134249 235 47 0.0253768954921131
2521 Trp 1136 67 0.00581793801156099 1106 37 0.00330987591353564
2531 Tmp 213 18 0.0115361326077418 241 46 0.0243807765728383
