Family,Taxon,16S,COI,H3,D7,PMRT,Collection,Identification
Coenagrionidae,Oxyagrion_ablutum,BEA352,--,--,--,--,FSCA,--
Coenagrionidae,Acanthagrion_amazonicum,BEA351,--,--,--,--,FSCA,--
Coenagrionidae,Acanthagrion_floridense,BEA197,BEA197,BEA197,BEA197,--,FSCA,--
Coenagrionidae,Acanthagrion_sp3,BEA196,BEA196,BEA196,BEA196,--,FSCA,--
Coenagrionidae,Acanthagrion_lancea,BEA065,BEA065,BEA065,BEA065,BEA065,FSCA,--
Coenagrionidae,Acanthagrion_obsoletum,BEA228,BEA228,BEA228,--,--,FSCA,--
Coenagrionidae,Acanthagrion_sp2,BEA438,BEA438,BEA438,BEA438,BEA438,FSCA,--
Coenagrionidae,Acanthagrion_temporale,BEA439,BEA439,BEA439,BEA439,BEA439,FSCA,--
Coenagrionidae,Acanthagrion_trilobatum,BEA195,BEA195,BEA195,BEA195,BEA195,FSCA,--
Coenagrionidae,Acanthagrion_yungarum,BEA194,BEA194,BEA194,BEA194,--,FSCA,--
Coenagrionidae,Aeolagrion_dorsale,BEA342,BEA342,--,--,--,FSCA,--
Coenagrionidae,Aeolagrion_philipi,BEA277,--,--,BEA277,--,FSCA,--
Coenagrionidae,Africallagma_elongatum,BEA167,BEA167,BEA167,BEA167,--,FSCA,--
Coenagrionidae,Africallagma_glaucum,--,BEA210,--,--,--,FSCA,--
Coenagrionidae,Africallagma_pseudelongatum,BEA440,BEA440,BEA440,BEA440,--,FSCA,--
Coenagrionidae,Agriocnemis_argentea,BEA312,BEA312,BEA312,--,--,FSCA,--
Coenagrionidae,Agriocnemis_nana,BEA027,BEA027,BEA027,BEA027,--,FSCA,--
Coenagrionidae,Amazoneura_westfalli,BEA177,BEA177,BEA177,BEA177,--,FSCA,--
Coenagrionidae,Amphiagrion_saucium,BEA227,BEA227,BEA227,BEA227,--,FSCA,--
Coenagrionidae,Anisagrion_allopterum,BEA441,BEA441,BEA441,BEA441,BEA441,FSCA,--
Coenagrionidae,Anisagrion_inornatum,BEA442,BEA442,BEA442,BEA442,BEA442,FSCA,--
Coenagrionidae,Anisagrion_kennedyi,BEA443,BEA443,BEA443,BEA443,BEA443,FSCA,--
Coenagrionidae,Apanisagrion_lais,BEA003,BEA003,BEA003,BEA003,--,FSCA,--
Coenagrionidae,Argia_adamsi,BEA166,BEA166,BEA166,BEA166,--,FSCA,--
Coenagrionidae,Argia_agrioides,BEA216,BEA216,--,BEA216,--,FSCA,--
Coenagrionidae,Argia_alberta,BEA171,BEA171,BEA171,BEA171,--,FSCA,--
Coenagrionidae,Argia_apicalis,BEA108,BEA108,BEA108,BEA108,BEA108,FSCA,--
Coenagrionidae,Argia_collata,BEA164,BEA164,BEA164,--,--,FSCA,--
Coenagrionidae,Argia_cupraurea,BEA165,--,BEA165,--,--,FSCA,--
Coenagrionidae,Argia_difficilis,BEA297,--,BEA297,BEA297,--,FSCA,--
Coenagrionidae,Argia_dives,BEA226,BEA226,BEA226,BEA226,BEA226,FSCA,--
Coenagrionidae,Argia_emma,BEA160,BEA160,BEA160,BEA160,--,FSCA,--
