Family,Taxon,Countries,Provinces/States/Regions,Areas,Biome_region,Sources
Coenagrionidae,Acanthagrion_adustum,"BRA,COL,GUF,GUY,PAR,SUR,VEN","Amazonas,Para,Rondonia,Roraima","SAmN,SAmE",S_Am,"FSCA, Heckman (2008)"
Coenagrionidae,Acanthagrion_amazonicum,BRA,"Amazonas,Rondonia","SAmN,SAmE,SAmC",S_Am,Heckman (2008)
Coenagrionidae,Acanthagrion_apicale,"BOL,BRA,COL,ECU,GUF,GUY,PER,SUR,VEN","Amazonas,Para,Rondonia","SAmN,SAmE,SAmC",S_Am,"FSCA, Heckman (2008)"
Coenagrionidae,Acanthagrion_cf.abunae,"BOL,BRA,COL,GUY,PAN,PAR","Mato Grosso,Rondonia","SAmN,SAmE,SAmC",S_Am,"FSCA, Heckman (2008)"
Coenagrionidae,Acanthagrion_cf.chararum,"BOL,BRA,PER",Mato Grosso,"SAmN,SAmE,SAmC",S_Am,"FSCA, Heckman (2008)"
Coenagrionidae,Acanthagrion_cuyabae,"ARG,BOL,BRA","Mato Grosso,Rio Grande do Sul,Sao Paulo","SAmS,SAmC",S_Am,"Heckman (2008), von Ellenrieder (2009a)"
Coenagrionidae,Acanthagrion_floridense,"COL,ECU",,SAmN,S_Am,"FSCA, Heckman (2008)"
Coenagrionidae,Acanthagrion_fluviatile,"GUY,VEN",,SAmE,S_Am,"FSCA, Heckman (2008), von Ellenrieder et al. (2017)"
Coenagrionidae,Acanthagrion_gracile,"ARG,BOL,BRA,COL,CRI,ECU,MEX,PAR,PER,URU",,"SAmN,SAmE,SAmS,SAmC","C_Am,S_Am",Heckman (2008)
Coenagrionidae,Acanthagrion_inexpectum,"COL,CRI,GUA,GUF,GUY,HON,MEX,PAN,SUR,VEN",,"SAmN,SAmE","C_Am,S_Am","FSCA, Heckman (2008),von Ellenrieder (2009b), von Ellenrieder et al. (2017)"
Coenagrionidae,Acanthagrion_lancea,"ARG,BOL,BRA,COL,ECU,PAR,PER,URU","Rio Grande do Sul,Santa Catarina,Sao Paulo","SAmN,SAmE,SAmS,SAmC",S_Am,Heckman (2008)
Coenagrionidae,Acanthagrion_minutum,"ARG,BOL,BRA,GUY,PER,VEN",Sao Paulo,"SAmE,SAmS,SAmC",S_Am,"FSCA, Heckman (2008)"
Coenagrionidae,Acanthagrion_obsoletum,"BOL,COL,ECU,PER",,"SAmN,SAmC",S_Am,"FSCA, Heckman (2008), Hoffmann et al. (2016a)"
Coenagrionidae,Acanthagrion_phallicorne,"BRA,ECU,PER,VEN","Mato Grosso,Rondonia","SAmN,SAmC",S_Am,"FSCA, Heckman (2008)"
Coenagrionidae,Acanthagrion_rubrifrons,"BRA,ECU,GUF,GUY,PER,SUR,VEN","Amazonas,Para","SAmN,SAmE",S_Am,"FSCA, Heckman (2008)"
Coenagrionidae,Acanthagrion_sp1,--,,--,,--
Coenagrionidae,Acanthagrion_sp2,"ARG,BRA,ECU,PER",,"SAmN,SAmC",S_Am,Lozano & Muz??n (2020)
Coenagrionidae,Acanthagrion_sp3,ECU,,SAmN,S_Am,von Ellenrieder & Tennessen (2016)
Coenagrionidae,Acanthagrion_temporale,"ARG,BRA,VEN","Bahia,Mato Grosso,Minas Gerais,Rio de Janeiro,Roraima,Sao Paulo","SAmE,SAmS,SAmC",S_Am,Heckman (2008)
Coenagrionidae,Acanthagrion_trilobatum,"COL,CRI,ECU,ESA,HON,NIC,PAN,VEN",,SAmN,"C_Am,S_Am","FSCA, Heckman (2008)"
Coenagrionidae,Acanthagrion_vidua,"BOL,TTO,VEN",,"SAmN,SAmC",S_Am,"FSCA, Heckman (2008)"
Coenagrionidae,Acanthagrion_yungarum,"BOL,ECU,PER",,"SAmN,SAmC",S_Am,"FSCA, Heckman (2008)"
Coenagrionidae,Aciagrion_africanum,"AGO,CIV,CMR,COD,COG,GAB,GIN,LBR,MWI,NGA,UGA,ZMB",,"AfrW,AfrE",Afr,"Dijkstra (2017), Clausnitzer et al. (2016a)"
Coenagrionidae,Aciagrion_approximans,"CHN,HKG,IDN,IND,KHM,THA","Arunachal Pradesh,Guangdong,Guangxi,Hainan,Indonesia-Archipelago,Manipur,Meghalaya,Nagaland,Sikkim,West Bengal","AsSE,Mly",SE_As,"Dow (2009b), Kosterin (2012)"
Coenagrionidae,Aciagrion_bapepe,"CMR,COG",,AfrW,Afr,"Dijkstra (2017), Clausnitzer (2017a)"
Coenagrionidae,Aciagrion_borneense,"BRN,IDN,IND,KHM,MYS,THA,VNM","Indonesia-Archipelago,Malaysia-Archipelago,Malaysia-Peninsular,Mizoram","AsSE,Mly",SE_As,"Dow & Silvius (2014), FSCA, Dow (2011a)"
Coenagrionidae,Aciagrion_brosseti,"COD,GAB",,AfrW,Afr,"Dijkstra (2017),Dijkstra & Clausnitzer (2014)"
Coenagrionidae,Aciagrion_hisopa,"IDN,IND,KHM,MMR,MYS,NPL,SGP,THA,VNM","Indonesia-Archipelago,Karnataka,Kerala,Maharashtra,Malaysia-Archipelago","AsSE,Ind,Mly","Ind,SE_As",Dow (2009a)
Coenagrionidae,Aciagrion_migratum,"CHN,JPN,KOR,TWN,VNM",,"AsE,AsSE","E_As,SE_As",Karube (2009a)
Coenagrionidae,Aciagrion_nodosum,"AGO,CMR,COG,GAB,ZMB",,AfrW,Afr,"Dijkstra (2017), Clausnitzer & Suhling (2018a)"
Coenagrionidae,Aciagrion_occidentale,"IND,KHM,LKA,VNM",Madras,"AsSE,Ind","Ind,SE_As",Mitra (2010a)
Coenagrionidae,Aeolagrion_dorsale,"BOL,BRA,ECU,GUF,GUY,PER,SUR,SUR,TTO,VEN","Amazonas,Para","SAmN,SAmE,SAmC",S_Am,"FSCA, Heckman (2008)"
Coenagrionidae,Aeolagrion_inca,"BOL,BRA,ECU,PER",Amazonas,"SAmN,SAmC",S_Am,Heckman (2008)
Coenagrionidae,Aeolagrion_philipi,"ARG,BOL",,SAmC,S_Am,Tennessen (2009)
Coenagrionidae,Africallagma_elongatum,"AGO,COD,ERI,ETH,KEN,MWI,TZA,UGA,ZWE",,"AfrS,AfrE",Afr,"FSCA, Clausnitzer & Suhling (2016a)"
Coenagrionidae,Africallagma_glaucum,"BWA,GAB,GHA,KEN,LSO,MOZ,MWI,NAM,NGA,TZA,UGA,ZAF,ZMB,ZWE",,"AfrW,AfrS,AfrE",Afr,"FSCA, Clausnitzer et al. (2016b)"
Coenagrionidae,Africallagma_pseudelongatum,"COD,KEN,RWA,UGA",,AfrE,Afr,Dijkstra & Clausnitzer (2014)
Coenagrionidae,Africallagma_quingentum,"COD,KEN,UGA",,AfrE,Afr,"Dijkstra (2017), Clausnitzer (2017b)"
Coenagrionidae,Africallgama_vaginale,"AGO,CMR,COD,GAB,GHA,KEN,TZA,UGA,ZMB",,"AfrW,AfrE",Afr,"Dijkstra (2017), Clausnitzer & Suhling (2016b)"
Coenagrionidae,Agriocnemis_argentea,AUS,"Northern Territory,Queensland,Western Australia","AusW,AusE",Aus,"Atlas of living Australia (2017), FSCA"
Coenagrionidae,Agriocnemis_canuango,AGO,,AfrW,Afr,"Dijkstra (2017), Clausnitzer (2017c)"
Coenagrionidae,Agriocnemis_exilis,"AGO,BEN,BFA,CAF,CMR,COD,COG,ETH,GAB,GMB,GNB,KEN,LBR,MDG,MLI,MOZ,MUS,MWI,NAM,NGA,REU,SEN,SLE,SOM,SSD,TCD,TGO,TZA,ZAF,ZMB",,"AfrW,AfrS,AfrE,Mdg",Afr,Dijkstra (2017)
Coenagrionidae,Agriocnemis_exsudans,"ASM,AUS,COK,FJI,NCL,SLB,TON,VUT",Queensland,AusE,Aus,"FSCA, Marinov & Waqa-Sakiti (2013), Papazian et al. (2007)"
Coenagrionidae,Agriocnemis_femina,"AUS,BGD,BRN,CHN,FSM,GUM,HKG,IDN,IND,JPN,LAO,LKA,MMR,MYS,PHL,PLW,PNG,SGP,SLB,THA,TMS,TWN,VNM","Andaman Is.,Assam,Fujian,Guangdong,Guangxi,Hainan,Henan,Hubei,Hunan,Indonesia-Archipelago,Indonesia-Papua,Malaysia-Archipelago,Malaysia-Peninsular,Manipur,Nicobar Is.,Queensland,Sichuan,West Bengal,Yunnan","AsE,AsSE,AusE,Ind,Mly","Aus,E_As,Ind,SE_As",Dow (2020a)
Coenagrionidae,Agriocnemis_forcipata,"AGO,CAF,CMR,COD,COG,GAB,SSD",,"AfrW,AfrE",Afr,"Dijkstra (2017),Clausnitzer et al. (2016c)"
Coenagrionidae,Agriocnemis_inversa,"COD,DJI,ETH,KEN,MWI,SSD,TZA,UGA",,AfrE,Afr,Clausnitzer & Dijkstra (2016a)
Coenagrionidae,Agriocnemis_kalinga,"BGD,IND","Odisha,West Bengal","AsSE,Ind","Ind,SE_As",Nair and Subramanian (2014)
Coenagrionidae,Agriocnemis_keralensis,IND,"Goa,Kerala",Ind,Ind,"Dow (2009c), Kakkasery (2011)"
Coenagrionidae,Agriocnemis_lacteola,"BGD,CHN,HKG,IND,KHM,NPL,THA,VNM","Arunachal Pradesh,Assam,Bihar,Fujian,Guangdong,Guangxi,Guizhou,Hainan,Henan,Hubei,Jiangsu,Jiangxi,Meghalaya,Orissa,Sichuan,Sikkim,West Bengal,Yunnan,Zhejiang","AsE,AsSE","E_As,SE_As",Kosterin & Holden (2011)
Coenagrionidae,Agriocnemis_maclachlani,"BEN,CIV,CMR,GIN,GMB,GNB,LBR,NGA,SEN,SLE,UGA",,"AfrW,AfrE",Afr,Clausnitzer & Dijkstra (2016b)
Coenagrionidae,Agriocnemis_nana,"CHN,KHM,LAO,MMR,MYS,SGP,THA,VNM","Malaysia-Peninsular,Yunnan",AsSE,SE_As,Dow (2011b)
Coenagrionidae,Agriocnemis_pinheyi,"BDI,COD,KEN,MOZ,MWI,TZA,UGA,ZAF,ZMB,ZWE",,"AfrS,AfrE",Afr,"Dijkstra (2017), Clausnitzer & Suhling (2018b)"
Coenagrionidae,Agriocnemis_pygmaea,"AFG,AUS,BGD,BRN,BTN,CHN,HKG,IDN,IND,IRN,JPN,KHM,LAO,LKA,MMR,MYS,OMN,PAK,PHL,PNG,SGP,SLB,SYC,THA,TWN,VNM","Andaman Is.,Andhra Pradesh,Arunachal Pradesh,Bihar,Chandigarh,Chattisgarh,Dadra-Nagar-Haveli,Daman,Darjiling,Delhi,Diu,Goa,Guangdong,Guangxi,Gujarat,Hainan,Haryana,Himachal Pradesh,Indonesia-Archipelago,Indonesia-Papua,Jammu-Kashmir,Jharkand,Karaikal,Karnataka,Kerala,Laccadive Is.,Madhya Pradesh,Madras,Maharashtra,Malaysia-Peninsular,Manipur,Meghalaya,Mizoram,Nagaland,New South Wales,Nicobar Is.,Northern,Orissa,Pondicherry,Punjab,Queensland,Rajasthan,Sichuan,Sikkim,Tamil Nadu,Tripura,Uttaranchal,Uttar Pradesh,West Bengal,Western Australia,Yanam","AsC,AsSE,AfrN,AusW,AusE,Ind,Mly","Afr,Aus,E_As,Ind,SE_As",Subramanian (2020)
Coenagrionidae,Agriocnemis_salomonis,SLB,,AusE,Aus,"NZAC, Polhemus et al. (2008)"
Coenagrionidae,Agriocnemis_toto,AGO,,AfrW,Afr,"Dijkstra (2017), Clausnitzer (2017d)"
Coenagrionidae,Agriocnemis_victoria,"AGO,BTN,CAF,CMR,COD,GAB,UGA,ZMB",,"AfrW,AfrE",Afr,"Dijkstra (2017), Clausnitzer (2016a)"
Platycnemididae,Allocnemis_abbotti,"KEN,TZA",,AfrE,Afr,Dijkstra (2017)
Platycnemididae,Allocnemis_cyanura,"CAF,CMR,COD,GAB",,AfrW,Afr,Dijkstra (2017)
Platycnemididae,Allocnemis_leucosticta,ZAF,,AfrS,Afr,"Dijkstra (2017), Suhling (2010a)"
Platycnemididae,Allocnemis_marshalli,"COD,MWI,MOZ,ZMB,ZWE",,"AfrS,AfrE",Afr,Dijkstra (2017)
