Taxon	biome
Aciagrion_africanum	T
Aciagrion_bapepe	T
Aciagrion_brosseti	T
Aciagrion_nodosum	T
Africallagma_elongatum	W
Africallagma_glaucum	W
Africallagma_pseudelongatum	W
Africallagma_quingentum	W
Africallgama_vaginale	TW
Agriocnemis_canuango	T
Agriocnemis_exilis	T
Agriocnemis_forcipata	T
Agriocnemis_inversa	T
Agriocnemis_maclachlani	T
Agriocnemis_pinheyi	W
Agriocnemis_toto	T
Agriocnemis_victoria	T
Allocnemis_abbotti	T
Allocnemis_cyanura	T
Allocnemis_leucosticta	W
Allocnemis_marshalli	T
Allocnemis_nigripes	T
Allocnemis_pauli	T
Allocnemis_vicki	T
Arabicnemis_caerulea	
Azuragrion_buchholzi	T
Azuragrion_nigridorsum	T
Azuragrion_vansomereni	T
Ceriagrion_annulatum	T
Ceriagrion_bakeri	T
Ceriagrion_banditum	T
Ceriagrion_corallinum	T
Ceriagrion_glabrum	T
Ceriagrion_junceum	T
Ceriagrion_katamborae	T
Ceriagrion_kordofanicum	T
Ceriagrion_obfuscans	T
Ceriagrion_platystigma	T
Ceriagrion_rubellocerinum	T
Ceriagrion_sakejii	T
Ceriagrion_suave	T
Ceriagrion_whellani	T
Coenagriocnemis_insularis	T
Coenagriocnemis_rufipes	T
Copera_congolensis	T
Copera_guttifera	T
Copera_nyansana	T
Copera_rufipes	T
Copera_sikassoensis	T
Coryphagrion_grandis	T
Elattoneura_acuta	T
Elattoneura_aurifex	T
Elattoneura_balli	T
Elattoneura_cellularis	T
Elattoneura_centrafricana	T
Elattoneura_frenulata	T
Elattoneura_glauca	TW
Elattoneura_josemorai	T
Elattoneura_lapidaria	T
Elattoneura_lliba	T
Elattoneura_nigra	T
Elattoneura_tarbotonorum	T
Elattoneura_tsiamae	T
Elattoneura_vittata	T
Ischnura_evansi	W
Ischnura_fountaineae	W
Ischnura_saharensis	W
Mesocnemis_robusta	T
Mesocnemis_singularis	T
Metacnemis_valida	W
Mortonagrion_stygium	T
Oreocnemis_phoenix	T
Paracnemis_alluaudi	T
Proischnura_subfurcata	T
Proplatycnemis_hova	T
Proplatycnemis_malgassica	T
Proplatycnemis_pembipes	T
Proplatycnemis_sanguinipes	T
Pseudagrion_acaciae	T
Pseudagrion_aureolum	T
Pseudagrion_bicoerulans	T
Pseudagrion_caffrum	W
Pseudagrion_citricola	TW
Pseudagrion_dactylidium	T
Pseudagrion_deningi	T
Pseudagrion_epiphonematicum	T
Pseudagrion_glaucescens	T
Pseudagrion_glaucoideum	T
Pseudagrion_glaucum	T
Pseudagrion_hageni	T
Pseudagrion_hamoni	T
Pseudagrion_kersteni	TW
Pseudagrion_kibalense	T
Pseudagrion_makabusiense	T
Pseudagrion_malagasoides	T
Pseudagrion_massaicum	T
Pseudagrion_melanicterum	T
Pseudagrion_munte	T
Pseudagrion_niloticum	T
Pseudagrion_nubicum	T
Pseudagrion_pacale	T
Pseudagrion_salisburyense	T
Pseudagrion_sarepi	T
Pseudagrion_serrulatum	T
Pseudagrion_sjoestedti	T
Pseudagrion_sp	T
Pseudagrion_spernatum	T
Pseudagrion_sublacteum	T
Pseudagrion_tanganyicum	T
Pseudagrion_torridum	T
Spesbona_angusta	W
Stenocnemis_pachystigma	T
Teinobasis_alluaudi	T
Ischnura_senegalensis	TW
Ceriagrion_tenellum	WC
Coenagrion_caerulescens	W
Coenagrion_mercuriale	W
Erythromma_lindenii	W
Ischnura_graellsii	W
Pyrrhosoma_nymphula	WC
Agriocnemis_pygmaea	TW
Agriocnemis_argentea	T
Agriocnemis_exsudans	T
Agriocnemis_salomonis	T
Austroagrion_cyane	TW
Austroagrion_exclamationis	T
Austroagrion_watsoni	TW
Austrocnemis_splendida	TW
Austrocoenagrion_lyelli	W
Ceriagrion_aeruginosum	T
Cyanocnemis_aureofrons	T
Idiocnemis_obliterata	T
Ischnura_armstrongi	T
Ischnura_heterosticta	TW
Ischnura_pamelae	T
Ischnura_pruinescens	T
Ischnura_sp	T
Lieftinckia_lairdi	T
Lochmaeocnemis_malacodora	T
Melanesobasis_corniculata	T
Melanesobasis_flavilabris	T
Melanesobasis_mcleani	T
Mortonagrion_martini	T
Nesobasis_campioni	T
Nesobasis_erythrops	T
Nesobasis_flavifrons	T
Nesobasis_longistyla	T
Nesobasis_sp1	T
Nesobasis_sp2	T
