Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]
0	-6144.532	-6150.038	5.506001	0.00754677	0.00908761	0.00902475	0.00869077	0.00870373	0.00873929	0.00872855	0.00870352	0.00881445	0.00886843	0.00889519	0.00888302	0.00890182	0.00890001	0.0089159	0.00892612	0.00891447	0.00896062	0.00904898	0.0090593
10	-6188.117	-6153.482	-34.63526	7.61652e-05	7.60357e-05	7.69105e-05	0.000175833	0.000316898	0.000320319	0.000312063	0.000312697	0.000314338	0.000315227	0.000313712	0.000313035	0.000312745	0.00030658	0.000306312	0.000311052	0.000313392	0.000325511	0.000405805	0.000411533
20	-6166.852	-6153.08	-13.7721	0.000255503	0.000253835	0.00025298	0.000255848	0.000257308	0.000259279	0.000263689	0.000256601	0.000251381	0.000254623	0.000295999	0.000293253	0.000283335	0.000281804	0.000288087	0.000390605	0.000386623	0.000389104	0.000388719	0.000421171
30	-6161.611	-6152.9	-8.710706	6.28759e-05	6.84226e-05	6.93494e-05	6.87106e-05	6.06395e-05	6.3494e-05	6.14397e-05	6.17912e-05	6.51515e-05	6.52436e-05	6.92039e-05	6.9215e-05	6.92251e-05	6.9123e-05	4.86604e-05	4.85507e-05	4.85347e-05	4.92665e-05	4.76705e-05	4.8263e-05
40	-6147.326	-6153.317	5.990966	0.00168243	0.001669	0.00166476	0.00166971	0.00166944	0.00165733	0.00165695	0.00165215	0.00166519	0.00166958	0.00166389	0.00171451	0.00171294	0.00176517	0.00171075	0.00168448	0.00169062	0.00183636	0.00183832	0.00181365
50	-6125.174	-6155.321	30.14714	0.00540372	0.00540691	0.0055459	0.00552275	0.00552627	0.00559036	0.00561423	0.0056067	0.00552964	0.00555962	0.00567649	0.00568878	0.00567567	0.005683	0.00567152	0.00547849	0.00549758	0.00555151	0.00555083	0.00556977
60	-6139.9	-6155.51	15.61018	7.35598e-05	7.24561e-05	7.85741e-05	7.89134e-05	8.01326e-05	7.98607e-05	7.9836e-05	7.93265e-05	7.92834e-05	7.96138e-05	8.10007e-05	8.00187e-05	8.00797e-05	8.00222e-05	7.99128e-05	8.20637e-05	8.10139e-05	7.66598e-05	7.68565e-05	7.6661e-05
70	-6174.124	-6156.497	-17.62712	0.00032113	0.000323154	0.000296127	0.000257531	0.000248493	0.000244563	0.000254983	0.000282191	0.00028341	0.000283535	0.000289488	0.000297319	0.000298467	0.000408723	0.000509371	0.000195709	0.000197946	0.000200361	0.000200585	0.000198335
80	-6222.423	-6150.808	-71.61471	0.00193407	0.00195639	0.00197425	0.00193141	0.0019616	0.0019605	0.000814138	0.00132732	0.00115956	0.00133228	0.00101691	0.00139645	0.000795263	0.000732117	0.00122991	0.00112217	0.00109427	0.00211431	0.00205942	0.00201013
90	-6213.664	-6152.119	-61.5446	0.000920194	0.00122844	0.00118146	0.00135171	0.000762933	0.000540135	0.000548751	0.000408371	0.000389365	0.000394845	0.000243667	2.79324e-05	9.13514e-05	4.41857e-05	1.09966e-05	9.50321e-06	9.77803e-06	4.47564e-11	6.54011e-11	9.55529e-11
100	-6189.983	-6148.628	-41.3548	0.000195003	0.000196324	0.000200086	0.00017593	0.000153207	0.000153418	0.000151878	0.000161809	0.00021671	0.000306544	0.000235107	0.000238694	0.000236918	0.00023564	0.000159944	0.000159379	0.000102175	0.000102743	0.000139028	0.000145324
110	-6181.33	-6152.375	-28.95539	0.000108088	0.000103642	9.31083e-05	7.47236e-05	7.3757e-05	7.07873e-05	7.13599e-05	7.14172e-05	7.25041e-05	6.84241e-05	6.5734e-05	6.55892e-05	6.30999e-05	6.60181e-05	3.28464e-05	3.14693e-05	3.19277e-05	7.39342e-05	7.15261e-05	5.76422e-05
120	-6160.383	-6151.123	-9.259725	5.95909e-05	6.23217e-05	6.29359e-05	6.04102e-05	5.48276e-05	5.48445e-05	5.54041e-05	5.71072e-05	5.88737e-05	5.88757e-05	5.73404e-05	5.72393e-05	5.76618e-05	5.73977e-05	5.73853e-05	5.71402e-05	5.63978e-05	5.32726e-05	5.45018e-05	5.6204e-05
130	-6159.988	-6150.826	-9.162102	0.00347758	0.00399561	0.00402297	0.00400047	0.00368829	0.00343929	0.00343313	0.0034134	0.00346607	0.00433396	0.00416535	0.00435548	0.00436385	0.00436121	0.0044816	0.00419757	0.0037015	0.0035809	0.00345759	0.00247362
140	-6138.301	-6153.553	15.25183	0.00744842	0.00744859	0.00753168	0.00752141	0.00736897	0.00742134	0.00738193	0.00739498	0.00739474	0.00741968	0.00721497	0.00721168	0.00694057	0.00661272	0.0069977	0.00699403	0.00705958	0.00705844	0.00707108	0.00717556
150	-6147.828	-6155.78	7.951801	0.000284757	0.000284895	0.000284887	0.000271863	0.000262743	0.000262814	0.000178508	0.000193541	0.000192273	0.000192061	0.000193422	0.000193361	0.000193442	0.000192601	0.000197153	0.000196696	0.000196335	0.000196532	4.88862e-06	4.87173e-06
160	-6129.638	-6154.642	25.00402	0.000146954	0.000150036	0.000150027	0.000151817	0.000152427	0.000160145	0.000159163	0.000159194	0.000159849	0.000159545	0.0001591	0.000158886	0.000158822	0.000154383	0.000156269	0.000156442	0.000156383	0.000151775	0.000151058	0.000150519
170	-6180.326	-6154.362	-25.96439	0.00240301	0.00242226	0.00278025	0.00276539	0.00278343	0.0027885	0.00280139	0.00295845	0.00299289	0.00299263	0.00290778	0.00288428	0.00291534	0.00264549	0.00252802	0.0025092	0.00250914	0.00253723	0.00244109	0.00251419
180	-6191.31	-6155.166	-36.14374	6.72616e-05	7.37667e-05	8.41266e-05	7.66375e-05	7.57707e-05	7.6477e-05	7.69634e-05	9.14902e-05	8.34275e-05	8.28731e-05	8.32623e-05	5.54662e-05	5.42731e-05	5.65237e-05	6.17548e-05	6.31306e-05	6.51137e-05	4.82125e-05	4.75379e-05	4.75348e-05
190	-6183.205	-6153.15	-30.05559	0.000680917	0.000545767	0.00040218	0.000604362	0.000598982	0.000739985	0.000790096	0.000811848	0.000771286	0.000723589	0.000766121	0.000766426	0.00083166	0.000840295	0.000967758	0.00100722	0.00176946	0.00175244	0.00169276	0.00161467
