Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation[12]	speciation[13]	speciation[14]	speciation[15]	speciation[16]	speciation[17]	speciation[18]	speciation[19]	speciation[20]
0	-6144.532	-6150.038	5.506001	0.03463	0.0206748	0.0220488	0.0327399	0.0336779	0.040024	0.0494231	0.0468823	0.0466712	0.0521824	0.0572771	0.0573002	0.0607466	0.0618082	0.0726179	0.0683719	0.0699063	0.150724	0.132254	0.0632089
10	-6188.117	-6153.482	-34.63526	0.0381999	0.0197505	0.0257641	0.0314992	0.0329633	0.0332652	0.0407554	0.040444	0.0444762	0.0438645	0.0607034	0.0531358	0.0525677	0.0529257	0.0610952	0.058234	0.0706911	0.0874859	0.0863661	0.0674269
20	-6166.852	-6153.08	-13.7721	0.0317097	0.0220159	0.0254803	0.0274289	0.0284331	0.0280622	0.0382259	0.0383952	0.0441	0.0468495	0.0483649	0.0480274	0.0474898	0.0478228	0.062857	0.0628472	0.0692545	0.146768	0.147458	0.100741
30	-6161.611	-6152.9	-8.710706	0.0304213	0.0213904	0.0221897	0.0343336	0.0349154	0.0343817	0.042697	0.0426983	0.0430428	0.0455533	0.0458412	0.0459371	0.0469788	0.0459533	0.0509063	0.0513612	0.0560723	0.125456	0.127421	0.101969
40	-6147.326	-6153.317	5.990966	0.0311573	0.0188477	0.0205549	0.0312391	0.0313704	0.0298654	0.0408295	0.0405556	0.0417039	0.0419303	0.0472334	0.0499017	0.0489085	0.0489042	0.0477052	0.050393	0.0603825	0.158435	0.149249	0.129342
50	-6125.174	-6155.321	30.14714	0.0353869	0.0278781	0.0291544	0.0316051	0.0313221	0.0323497	0.0415383	0.0434764	0.0458862	0.0458743	0.0494449	0.0490439	0.0527711	0.0586839	0.0586741	0.0637591	0.139804	0.142246	0.154298	0.126796
60	-6139.9	-6155.51	15.61018	0.0354035	0.0263378	0.0263887	0.0289283	0.0301937	0.0318935	0.0356848	0.0368206	0.0442803	0.044313	0.0460126	0.0464134	0.0486918	0.0468941	0.0447845	0.0450507	0.084013	0.0840666	0.0830116	0.074384
70	-6174.124	-6156.497	-17.62712	0.0306796	0.0244868	0.0243843	0.0252471	0.0353333	0.0358113	0.0378588	0.0396294	0.052725	0.0520647	0.0525071	0.0494644	0.0547812	0.0493991	0.0499792	0.0501777	0.0718816	0.0719522	0.0707516	0.0740561
80	-6222.423	-6150.808	-71.61471	0.0294552	0.0242899	0.0242948	0.0273084	0.0330365	0.0335625	0.0334847	0.0417939	0.0465016	0.0482825	0.044708	0.0415102	0.06138	0.0715091	0.0714777	0.0715704	0.0973182	0.0961579	0.0949665	0.10856
90	-6213.664	-6152.119	-61.5446	0.0314315	0.026912	0.0269573	0.0305856	0.0357736	0.0361373	0.0353128	0.0420406	0.0420554	0.0426015	0.0423627	0.0400837	0.0600178	0.0615405	0.0624002	0.0611621	0.108824	0.089416	0.0897954	0.0797724
100	-6189.983	-6148.628	-41.3548	0.0341455	0.0184518	0.0176844	0.030016	0.0302907	0.0324478	0.0323818	0.0457944	0.0462605	0.046232	0.047436	0.0463403	0.0581782	0.0629136	0.061733	0.0589773	0.0968977	0.0964463	0.0968552	0.102224
110	-6181.33	-6152.375	-28.95539	0.0371819	0.0196556	0.0187405	0.0335858	0.0337909	0.0338978	0.0341851	0.0346063	0.0348268	0.0347397	0.033385	0.0334392	0.0463929	0.0595977	0.0576369	0.0585653	0.0731316	0.0733222	0.0741583	0.0731021
120	-6160.383	-6151.123	-9.259725	0.0331779	0.0196766	0.0195431	0.0318729	0.0349374	0.0332564	0.0339066	0.0335346	0.0354012	0.0395037	0.0429309	0.0403337	0.0651684	0.069953	0.07571	0.0770846	0.076694	0.0775387	0.0776595	0.0723951
130	-6159.988	-6150.826	-9.162102	0.0376962	0.0237701	0.0237752	0.0299858	0.0393455	0.0329281	0.0357601	0.0422158	0.0454571	0.044345	0.0457469	0.0457635	0.0640532	0.0637524	0.0645757	0.0648109	0.0697379	0.0690493	0.07068	0.0575301
140	-6138.301	-6153.553	15.25183	0.041028	0.0272921	0.0251396	0.0254346	0.0394336	0.0379185	0.0331165	0.0583339	0.0559711	0.0501207	0.0499473	0.0484932	0.064604	0.0664714	0.0749067	0.074498	0.0760327	0.0763504	0.0755523	0.0712476
150	-6147.828	-6155.78	7.951801	0.0369492	0.0237353	0.0219491	0.0230006	0.0375725	0.0375119	0.0370601	0.0491589	0.0514731	0.0513278	0.047988	0.0467302	0.0540694	0.0628104	0.0620463	0.065657	0.054531	0.0491548	0.0498952	0.0505482
160	-6129.638	-6154.642	25.00402	0.037035	0.0235892	0.0213968	0.0224415	0.0381041	0.0372024	0.0375029	0.0422838	0.0409805	0.0411511	0.0403952	0.0427841	0.0463801	0.0466758	0.0466207	0.0949522	0.0687874	0.0650205	0.0761195	0.089669
170	-6180.326	-6154.362	-25.96439	0.0333482	0.0240392	0.0221479	0.0215019	0.0427568	0.0410344	0.0363823	0.048281	0.0405405	0.0408014	0.0405481	0.0416884	0.0682815	0.065443	0.0647032	0.0905654	0.088445	0.0858305	0.096479	0.130087
180	-6191.31	-6155.166	-36.14374	0.0308455	0.0231514	0.0214333	0.0211712	0.0318342	0.0318367	0.0293665	0.0486353	0.0445773	0.0486409	0.0462163	0.0523573	0.0552207	0.0585	0.063754	0.0859984	0.0798155	0.0740115	0.074446	0.0752643
190	-6183.205	-6153.15	-30.05559	0.0414322	0.0251692	0.0236171	0.0241027	0.0315688	0.0375723	0.0355777	0.0469783	0.0442521	0.042197	0.0423582	0.0515624	0.054359	0.0552182	0.0598308	0.0702395	0.0890352	0.0889279	0.0880692	0.0883497
200	-6236.738	-6154.351	-82.38704	0.0407447	0.0209379	0.0233098	0.025016	0.0313175	0.0410763	0.0428157	0.04262	0.0383856	0.03874	0.0384826	0.0462073	0.052215	0.0533992	0.0620006	0.0982395	0.136529	0.135677	0.14678	0.161445
210	-6210.166	-6152.849	-57.31682	0.0358483	0.0204897	0.0213769	0.0281642	0.0310125	0.0344509	0.0439382	0.0439367	0.0443057	0.0456978	0.0510003	0.0513201	0.0613339	0.0594454	0.0627698	0.0669699	0.0651748	0.0647977	0.0653143	0.0661583
220	-6150.297	-6153.4	3.103323	0.0319092	0.0190507	0.0190538	0.0356168	0.0385965	0.0382989	0.0398836	0.0405356	0.0405615	0.0410898	0.0421798	0.0422023	0.0463462	0.0470242	0.0861797	0.0875644	0.0778327	0.0814859	0.0836256	0.0805727
230	-6151.44	-6154.493	3.052695	0.0289291	0.0237712	0.0240721	0.0348281	0.0430012	0.0417804	0.0411355	0.0473553	0.0469985	0.0478194	0.0480266	0.0483009	0.0599842	0.0642024	0.102296	0.100655	0.0973719	0.0950489	0.0958167	0.0937139
240	-6174.204	-6157.388	-16.81637	0.0288027	0.0259626	0.026499	0.0283594	0.0371561	0.0376827	0.0326604	0.0379832	0.0375079	0.0426766	0.0436095	0.0451939	0.0498875	0.0455431	0.0913865	0.0964547	0.103048	0.107526	0.106972	0.108713
250	-6143.405	-6155.186	11.78068	0.0350323	0.0262696	0.0255659	0.0241896	0.038831	0.0406594	0.0401794	0.0435822	0.0454117	0.0466116	0.0386415	0.0384399	0.0450636	0.0439323	0.0435585	0.0769167	0.0818971	0.0822757	0.080402	0.0776934
260	-6142.981	-6153.792	10.81108	0.0343336	0.0253148	0.0256958	0.0256721	0.0328358	0.0328696	0.0332083	0.0377141	0.0395875	0.045674	0.0458165	0.0458168	0.0529532	0.0542077	0.0542253	0.0614232	0.0749044	0.0716843	0.0711465	0.0710403
270	-6147.901	-6153.799	5.898079	0.0351644	0.0267486	0.0262397	0.0261779	0.035074	0.0365959	0.032989	0.0414674	0.0411347	0.0409879	0.0421963	0.0431506	0.0595509	0.058242	0.0582593	0.0578767	0.0626202	0.0632323	0.0625674	0.0632081
280	-6238.339	-6152.247	-86.09222	0.033854	0.0271865	0.0270649	0.0264773	0.0384711	0.0393715	0.0323063	0.0469205	0.046612	0.0432758	0.0434516	0.0430943	0.0691255	0.061953	0.065116	0.0652007	0.0782189	0.0815313	0.0763963	0.0780665
290	-6168.993	-6150.966	-18.0272	0.0352617	0.0254203	0.0264272	0.0266957	0.0323809	0.0345393	0.0290574	0.0403329	0.0408457	0.0410693	0.0406807	0.03988	0.0709511	0.0705234	0.0706396	0.0700999	0.0793694	0.0920022	0.0908498	0.0934844
300	-6128.327	-6151.288	22.96152	0.035608	0.0219456	0.0231235	0.0214095	0.0294964	0.0330957	0.0310353	0.0419038	0.0431352	0.0435728	0.0431731	0.0435092	0.0629956	0.0588052	0.0591799	0.0592081	0.0822374	0.0878604	0.0928932	0.0971213
310	-6153.593	-6156.605	3.012276	0.0259869	0.0195821	0.0208549	0.0217709	0.0378797	0.0387075	0.0378307	0.039064	0.0505222	0.0387147	0.0406239	0.0429229	0.0712961	0.0700549	0.07117	0.0712468	0.0784742	0.0894522	0.0987237	0.0992483
320	-6163.801	-6152.77	-11.03101	0.0376125	0.0271332	0.0261144	0.0291146	0.0361511	0.0342198	0.0345479	0.0497047	0.0581564	0.0493943	0.0511352	0.0499715	0.0595912	0.0632396	0.0627802	0.0644963	0.0880842	0.0896799	0.219908	0.227816
330	-6151.771	-6154.071	2.299798	0.040812	0.0237192	0.0224955	0.0314812	0.0340309	0.0324873	0.0338351	0.0331498	0.0337928	0.0331569	0.036852	0.0369098	0.0699442	0.081704	0.0729555	0.0736158	0.122569	0.125653	0.145834	0.152059
340	-6148.645	-6149.312	0.6664091	0.03064	0.0191685	0.0170798	0.0296112	0.0316004	0.0338439	0.0362807	0.0461823	0.0464634	0.0433102	0.0432883	0.04359	0.0568855	0.0682575	0.0639351	0.0690178	0.0750107	0.0750347	0.0881095	0.068398
350	-6133.419	-6152.63	19.21121	0.0334696	0.027285	0.0222892	0.0330561	0.0335686	0.0393821	0.0416288	0.0425632	0.0430114	0.0430879	0.0431267	0.0433025	0.0499865	0.0511165	0.0522081	0.064749	0.106017	0.106043	0.107922	0.109797
360	-6146.536	-6151.079	4.543052	0.0292209	0.0221711	0.02149	0.0322513	0.0344778	0.0392824	0.0394488	0.0396978	0.0387928	0.0390613	0.0387779	0.0374219	0.0515483	0.0514478	0.0638246	0.0636899	0.108191	0.106592	0.106667	0.112676
370	-6143.872	-6149.518	5.646426	0.0380656	0.0203952	0.0202747	0.0285558	0.0331309	0.0333819	0.03517	0.0363083	0.0442539	0.0442534	0.0448966	0.0431675	0.0567677	0.0569352	0.0572448	0.0572781	0.0695693	0.069109	0.0695031	0.0546355
380	-6141.208	-6153.943	12.73547	0.0279769	0.0218212	0.021756	0.0242414	0.0309656	0.0288017	0.0292377	0.0395244	0.0444286	0.0435363	0.0434331	0.043688	0.0564937	0.0705898	0.0710119	0.064883	0.0875166	0.0867047	0.0624608	0.0625811
390	-6134.284	-6148.296	14.01209	0.0350523	0.0203143	0.023795	0.024165	0.0323965	0.034735	0.0411354	0.040216	0.0426015	0.0466262	0.0409366	0.0310561	0.0512176	0.0672634	0.0673874	0.0742565	0.0807285	0.0905941	0.0832779	0.0688236
400	-6130.644	-6148.956	18.31172	0.0343124	0.019938	0.0218819	0.0239768	0.0283263	0.0318612	0.0385315	0.037937	0.0417902	0.0426177	0.0366772	0.0313111	0.0446675	0.0594287	0.060293	0.0702301	0.105731	0.129126	0.139217	0.126623
410	-6150.089	-6150.152	0.06241757	0.0325871	0.0204527	0.0307963	0.0310215	0.0309672	0.0351928	0.0316718	0.0424562	0.043664	0.0432412	0.0405933	0.0344635	0.0530193	0.0524982	0.052515	0.0937082	0.0960529	0.120384	0.118308	0.134965
