Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]
0	-5849.007	-5873.026	24.01897	0.00549449	0.00549839	0.00550395	0.00549957	0.00550866	0.00546314	0.00551048	0.00564074	0.00549982	0.00549218	0.00549234	0.00552229	0.00553324	0.00539555	0.00547962	0.00550439	0.00550337	0.00549236	0.00541677	0.00538105
10	-5816.56	-5871.453	54.89251	0.00011178	0.000111088	0.000111195	0.000111285	0.000111237	0.000110037	0.000109891	0.000109766	0.000109659	0.000109638	0.000109911	0.000107396	0.000107518	0.000107546	0.000107626	0.00010787	0.000108015	0.000108857	0.000106531	0.000107034
20	-5790.058	-5869.763	79.70481	5.81205e-05	5.80852e-05	5.80215e-05	5.80019e-05	5.8e-05	5.79841e-05	5.81779e-05	5.8176e-05	5.81546e-05	5.81526e-05	5.81162e-05	5.81554e-05	5.81805e-05	5.71926e-05	5.72124e-05	5.73459e-05	5.73035e-05	5.72369e-05	5.73513e-05	5.73443e-05
30	-5814.432	-5870.943	56.51099	0.00180531	0.00179534	0.00179459	0.00178731	0.00179251	0.00179376	0.00179294	0.00179412	0.0017788	0.00180094	0.00180101	0.00180093	0.00180046	0.00179816	0.00179816	0.00180128	0.00180546	0.00177726	0.00177583	0.00178926
40	-5829.131	-5871.376	42.2443	0.00136138	0.00138232	0.00139456	0.00139913	0.00140483	0.001405	0.00140943	0.00138753	0.00140099	0.00140278	0.00140593	0.00140219	0.00138111	0.00138119	0.00138952	0.00144634	0.00144716	0.00144571	0.00143124	0.00141349
50	-5889.48	-5871.777	-17.70282	0.00120627	0.00147521	0.00147488	0.00143613	0.00143788	0.001399	0.00182084	0.00177593	0.00170351	0.00238284	0.00243711	0.00221959	0.00221851	0.00223377	0.00225768	0.002232	0.0017093	0.00171357	0.00168756	0.0017237
60	-5874.093	-5872.012	-2.080401	0.00107003	0.00108574	0.00141532	0.00141106	0.00099095	0.000933048	0.000943652	0.000950899	0.000918125	0.000963346	0.00101074	0.00101187	0.00101843	0.00107152	0.00107436	0.00105231	0.000431774	0.000422957	0.00040827	0.000416474
70	-5871.337	-5870.521	-0.8154913	0.000981959	0.000770578	0.000752302	0.000682115	0.000672889	0.00067429	0.00067376	0.00067391	0.000691679	0.000610417	0.000613761	0.00060619	0.000615879	0.000610997	0.000643643	0.00064248	0.000645706	0.000590658	0.000614294	0.000617408
80	-5817.051	-5870.572	53.52128	0.000163496	0.000163557	0.000162469	0.000161815	0.00016197	0.000161871	0.000158001	0.000158149	0.000158313	0.000158416	0.000156957	0.000156988	0.000157034	0.000156756	0.000155971	0.000156027	0.000156091	0.000156	0.000155933	0.000155935
90	-5838.275	-5873.348	35.07358	8.63884e-05	8.61743e-05	8.6172e-05	8.60449e-05	9.69622e-05	9.71305e-05	9.70335e-05	9.69049e-05	9.68286e-05	9.68365e-05	9.67976e-05	9.63009e-05	9.63135e-05	9.61579e-05	9.49405e-05	9.43613e-05	3.52821e-05	3.52717e-05	3.54684e-05	3.54697e-05
