Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]	interval_times[10]	interval_times[11]	interval_times[12]	interval_times[13]	interval_times[14]	interval_times[15]	interval_times[16]	interval_times[17]	interval_times[18]	interval_times[19]
0	-5849.007	-5873.026	24.01897	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
10	-5816.56	-5871.453	54.89251	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
20	-5790.058	-5869.763	79.70481	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
30	-5814.432	-5870.943	56.51099	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
40	-5829.131	-5871.376	42.2443	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
50	-5889.48	-5871.777	-17.70282	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
60	-5874.093	-5872.012	-2.080401	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
70	-5871.337	-5870.521	-0.8154913	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
80	-5817.051	-5870.572	53.52128	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
90	-5838.275	-5873.348	35.07358	3.34409	6.68818	10.0323	13.3764	16.7205	20.0645	23.4086	26.7527	30.0968	33.4409	36.785	40.1291	43.4732	46.8173	50.1614	53.5055	56.8496	60.1936	63.5377
