Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation[12]	speciation[13]	speciation[14]	speciation[15]	speciation[16]	speciation[17]	speciation[18]	speciation[19]	speciation[20]
0	-5849.007	-5873.026	24.01897	0.0344113	0.0342667	0.0440305	0.0394491	0.0630892	0.0631336	0.0587256	0.0596712	0.0679136	0.068367	0.0687961	0.0607906	0.0607865	0.118303	0.118277	0.116881	0.117226	0.119723	0.118253	0.117754
10	-5816.56	-5871.453	54.89251	0.0392343	0.0392284	0.0393699	0.0388384	0.0482915	0.0474516	0.0475796	0.0625212	0.0613313	0.0620201	0.0572862	0.0570099	0.0578401	0.108701	0.10692	0.10677	0.106776	0.106837	0.106886	0.106421
20	-5790.058	-5869.763	79.70481	0.0409067	0.0411663	0.038208	0.0384742	0.0541029	0.053518	0.0536366	0.0671012	0.0702349	0.0700554	0.0716676	0.0704419	0.0696082	0.121141	0.119605	0.119245	0.119143	0.119004	0.119332	0.120904
30	-5814.432	-5870.943	56.51099	0.0449652	0.0450697	0.0389591	0.0368994	0.0541421	0.0560023	0.0561803	0.069917	0.0702391	0.070292	0.071487	0.0706439	0.0704378	0.113897	0.114446	0.116497	0.116496	0.115178	0.115138	0.114763
40	-5829.131	-5871.376	42.2443	0.0367129	0.0364791	0.0362388	0.0364726	0.0567205	0.0566024	0.0573548	0.0599522	0.0600895	0.0597456	0.0603472	0.0616189	0.0618106	0.113799	0.116266	0.116616	0.118631	0.119475	0.118327	0.120045
50	-5889.48	-5871.777	-17.70282	0.0358682	0.0361662	0.0367758	0.040659	0.0667863	0.0640589	0.0638746	0.0638334	0.0642843	0.0640829	0.0640817	0.0607412	0.0607048	0.107792	0.108337	0.108124	0.163513	0.164252	0.163711	0.160693
60	-5874.093	-5872.012	-2.080401	0.0418103	0.0433418	0.0427517	0.0422545	0.0549613	0.0593029	0.0602083	0.060803	0.0605648	0.0608965	0.0616917	0.0616245	0.0616807	0.135467	0.134855	0.134498	0.203194	0.201979	0.20307	0.200758
70	-5871.337	-5870.521	-0.8154913	0.0408087	0.040944	0.0412248	0.0410521	0.0509096	0.0516372	0.0660025	0.0687384	0.0703575	0.0690469	0.0709715	0.0709776	0.0724228	0.109548	0.111206	0.113466	0.126169	0.123883	0.265036	0.270296
80	-5817.051	-5870.572	53.52128	0.0402542	0.0400316	0.0395327	0.0399261	0.0581587	0.0575804	0.0571703	0.0603523	0.0643299	0.0578764	0.0620721	0.062079	0.0657994	0.117889	0.125198	0.120336	0.118757	0.117453	0.188674	0.189811
90	-5838.275	-5873.348	35.07358	0.0429163	0.0404936	0.0417066	0.0525452	0.0568081	0.0569495	0.05707	0.0580803	0.0580121	0.0626961	0.0627852	0.0621978	0.0672209	0.113744	0.116665	0.116087	0.115798	0.114532	0.122324	0.125174
100	-5906.192	-5872.672	-33.52042	0.0513183	0.0447641	0.0450486	0.0474179	0.0634042	0.0648797	0.0665002	0.0667335	0.0666233	0.0690477	0.0663719	0.0663735	0.0662859	0.127333	0.127538	0.129883	0.129867	0.134291	0.130227	0.130191
110	-5901.409	-5873.155	-28.25373	0.0425254	0.0421374	0.0431779	0.0507113	0.0538848	0.0541181	0.0618606	0.0653094	0.0645346	0.0606062	0.0554291	0.0572172	0.0574098	0.133811	0.132974	0.133023	0.136329	0.139606	0.137739	0.13343
120	-5884.995	-5869.847	-15.14848	0.0396577	0.0372886	0.0371131	0.038238	0.0499118	0.0499632	0.0499638	0.0625855	0.071561	0.0695125	0.0649531	0.0646671	0.0626545	0.101224	0.100964	0.104321	0.103353	0.104101	0.109647	0.109824
