Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_02	rate_10	rate_12	rate_20	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
0	-6384.866	-6403.033	18.16737	0.00526197	0.00541408	0.0874419	0.0124829	0.0128437	0.207437	-5.24725	-5.21875	-2.43678	0.8638522	0.001328463	0.0034691	1.0928e-05	0.0031826	0.00285351	0.000990367	0.00126084	0.00132846	0.00132846	0.003469101	0.003182596	1.092803e-05	0.0009903674	0.002853506	0.001260845	0.107106	0.0224579	0.143928	0.125978	0.52204	0.07849	0.0483393	0.0428779	0.144287	0.0865162	0.0767416	0.25824	-3.02951	-3.1494	-1.93595	0.5820872
10	-6382.982	-6402.134	19.15206	0.00253807	0.0139389	0.0370949	0.00411395	0.0225934	0.0601269	-5.97635	-4.27307	-3.29428	0.4829779	0.001386244	0.00308494	0.000268517	0.00435066	0.00204032	0.000531399	0.00114128	0.00138624	0.00138624	0.003084939	0.004350657	0.0002685166	0.0005313993	0.002040322	0.001141282	0.142518	0.31293	0.0425378	0.0354245	0.334647	0.131942	0.0442044	0.0489627	0.111072	0.0675364	0.0748062	0.169697	-3.11893	-3.0167	-2.19758	0.4238416
20	-6385.639	-6410.243	24.60415	0.00124754	0.0122938	0.00683227	0.00177367	0.0174785	0.00971365	-6.68658	-4.39866	-4.9861	0.3518751	0.0006649903	0.00277468	1.4768e-05	0.00146027	0.00224169	0.00157103	0.000797931	0.00066499	0.00066499	0.002774681	0.001460269	1.476804e-05	0.001571029	0.002241689	0.0007979313	0.273481	0.204672	0.201346	0.0157276	0.0720517	0.232721	0.0424722	0.0423548	0.097396	0.066259	0.0660759	0.151943	-3.15891	-3.16167	-2.32897	0.444722
30	-6384.109	-6403.866	19.75687	0.000401937	0.00716659	0.0106632	0.000278165	0.00495972	0.00737958	-7.81922	-4.93833	-4.54096	-0.3680796	0.001675131	0.00222527	2.85368e-05	0.00367529	0.00147122	0.000723646	0.00145647	0.00167513	0.00167513	0.002225272	0.003675287	2.853678e-05	0.0007236462	0.001471217	0.001456468	0.560472	0.261474	0.0329814	0.00831111	0.122228	0.0145332	0.0415617	0.0407801	0.0791186	0.0651254	0.0639007	0.123976	-3.18058	-3.19956	-2.53681	0.4491363
40	-6379.59	-6403.362	23.77232	0.00218053	0.0236781	0.0140901	0.00141024	0.0153136	0.0091127	-6.12819	-3.74321	-4.26228	-0.4358064	0.001131649	0.00293198	1.72216e-05	0.00350164	0.00158501	0.000364914	0.000930038	0.00113165	0.00113165	0.002931983	0.003501642	1.722163e-05	0.0003649138	0.001585008	0.0009300382	0.269299	0.391616	0.194589	0.0808648	0.0457473	0.0178842	0.0442151	0.0438581	0.103844	0.0658807	0.0653488	0.154728	-3.11869	-3.1268	-2.26486	0.3987804
50	-6386.593	-6405.733	19.13964	0.0037516	0.000634085	0.047686	0.00589028	0.000995561	0.0748704	-5.58557	-7.36333	-3.04312	0.4511221	0.001053699	0.00262111	0.000152388	0.00428207	0.00162422	0.00129695	0.000738274	0.0010537	0.0010537	0.002621111	0.004282072	0.0001523884	0.00129695	0.001624224	0.0007382744	0.137436	0.1717	0.174052	0.13506	0.279864	0.101888	0.0447789	0.0391823	0.0956952	0.0745747	0.065254	0.15937	-3.10602	-3.23953	-2.34659	0.5100631
60	-6392.263	-6404.535	12.27205	0.00176434	0.00207274	0.0408086	0.00223714	0.00262818	0.0517442	-6.33998	-6.17888	-3.19886	0.2374189	0.001110841	0.00282178	9.82032e-05	0.00603314	0.00424637	0.000408913	0.000668071	0.00111084	0.00111084	0.002821785	0.006033142	9.820319e-05	0.0004089135	0.004246368	0.0006680709	0.356167	0.0176215	0.324505	0.00940584	0.230425	0.0618749	0.0422008	0.0439575	0.0684436	0.0812563	0.0846388	0.131786	-3.16532	-3.12453	-2.68175	0.6551697
70	-6381.297	-6409.147	27.84997	0.00458721	0.0102186	0.0391243	0.00503289	0.0112114	0.0429254	-5.38448	-4.58355	-3.24101	0.09272214	0.001311136	0.0024324	4.88869e-06	0.00199007	0.00162418	0.00102678	0.000384535	0.00131114	0.00131114	0.002432398	0.001990068	4.888694e-06	0.001026776	0.001624178	0.0003845349	0.45895	0.120067	0.008861	0.0173218	0.249059	0.145741	0.0462554	0.0456711	0.101732	0.0683706	0.0675068	0.150371	-3.07358	-3.08629	-2.28542	0.3907642
80	-6383.95	-6402.49	18.54013	0.00181135	0.00325833	0.035795	0.00516622	0.00929321	0.102092	-6.31368	-5.72654	-3.32995	1.048069	0.0003846277	0.00306505	4.66984e-07	0.00446866	0.00305474	0.000798415	0.00054421	0.000384628	0.000384628	0.003065054	0.004468661	4.669836e-07	0.0007984149	0.003054738	0.0005442098	0.1011	0.396025	0.0160024	0.189724	0.141462	0.155687	0.0429519	0.0409743	0.0939022	0.0699008	0.0666824	0.152818	-3.14767	-3.19481	-2.3655	0.4869966
90	-6386.067	-6401.855	15.78848	0.00133109	0.00404773	0.0794035	0.000805138	0.00244836	0.048029	-6.62176	-5.5096	-2.53321	-0.5027378	0.001514888	0.00277981	2.02738e-05	0.00395791	0.00230894	0.000599793	0.00264618	0.00151489	0.00151489	0.002779809	0.003957907	2.027378e-05	0.0005997932	0.002308936	0.002646184	0.186596	0.068151	0.0796448	0.0820502	0.56325	0.0203079	0.0420875	0.0439275	0.182374	0.0607626	0.0634192	0.263297	-3.16801	-3.12521	-1.7017	0.3672252
