Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_10	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
0	0	22.8545	0	22.8545	0.801295	0.0128696	0.0918951	0.619657	0.00995234	0.0710643	-0.221526	-4.35288	-2.38711	-0.2570629	4.087329e-05	1.64246e-05	0.00023156	0	0	0.00060147	0.000155905	4.08733e-05	4.08733e-05	1.642465e-05	0.0002315596	0.0006014699	0.0001559053	0.372079	0.143116	0.257628	0.0530259	0.0787123	0.0954397	0.111748	0.000116427	0.0288703	0.317407	0.000330698	0.0820027	-2.19151	-9.05825	-3.54494	1.043939
1	1	18.23611	0	18.23611	0.00108331	0.0245749	8.37968	0.000187292	0.00424873	1.44876	-6.82774	-3.70603	2.12581	-1.755105	0.001138776	0.000206735	0.000142969	0	0	2.30327e-05	0.00100853	0.00113878	0.00113878	0.0002067355	0.0001429694	2.303273e-05	0.001008531	0.0791991	0.0205523	0.254865	0.546091	0.0199452	0.0793472	0.00241192	0.0133474	0.0081307	0.00247243	0.0136823	0.0083347	-6.02733	-4.31643	-4.81211	0.02478061
2	0	23.87975	0	23.87975	0.0431805	0.00154247	0.0417604	0.0256816	0.00091738	0.0248369	-3.14237	-6.47437	-3.17581	-0.5196162	0.0002758911	0.000284512	0.000354804	0	0	0.000582874	0.000478074	0.000275891	0.000275891	0.0002845119	0.000354804	0.0005828736	0.0004780743	0.242616	0.377365	0.149561	0.12291	0.00498057	0.102568	0.872049	0.0386099	0.0453277	4.20945	0.186373	0.2188	-0.13691	-3.25425	-3.09384	1.574241
3	1	20.82283	0	20.82283	0.0445159	0.0684046	0.00748874	0.067104	0.103114	0.0112887	-3.11191	-2.68232	-4.89435	0.4103987	0.0007031763	0.00163085	6.36267e-05	0	0	0.00129515	0.000417347	0.000703176	0.000703176	0.001630851	6.362668e-05	0.001295154	0.0004173471	0.0645854	0.170614	0.0885288	0.203396	0.0889824	0.383894	0.00460382	0.0155086	0.0187521	0.013747	0.0463087	0.0559938	-5.38087	-4.16636	-3.97645	1.093938
4	0	16.09293	0	16.09293	0.0775783	0.000698031	0.179633	0.503621	0.00453146	1.16614	-2.55647	-7.26725	-1.71684	1.870536	0.0008777393	0.000463304	0.00055091	0	0	0.000589138	0.00204373	0.000877739	0.000877739	0.0004633042	0.0005509101	0.0005891382	0.00204373	0.0566227	0.386257	0.160874	0.0203203	0.12842	0.247506	0.0982558	0.189267	0.0398356	1.00918	1.94395	0.409149	-2.32018	-1.6646	-3.22299	2.329317
5	1	27.21717	0	27.21717	0.0613861	0.0517451	0.0454516	0.0837722	0.0706153	0.0620267	-2.79057	-2.96143	-3.09111	0.3109173	0.0003890347	0.000125269	0.000145561	0	0	5.89292e-05	0.00018681	0.000389035	0.000389035	0.0001252686	0.000145561	5.892924e-05	0.0001868105	0.171107	0.299662	0.0894192	0.172471	0.06642	0.20092	0.0274764	0.0174597	0.0183724	0.396784	0.252133	0.265314	-3.59443	-4.04786	-3.99691	2.670065
6	0	18.97658	0	18.97658	0.00194847	0.0616651	0.0230803	0.00128673	0.0407223	0.0152417	-6.24071	-2.78604	-3.76878	-0.4149431	0.0005023856	7.41828e-05	0.00219819	0	0	0.000184069	0.000242848	0.000502386	0.000502386	7.418283e-05	0.002198193	0.0001840689	0.0002428484	0.188227	0.299641	0.220074	0.261905	0.00192086	0.0282318	0.0255111	0.00169817	6.46356	0.0477995	0.00318181	12.1106	-3.66864	-6.37821	1.86618	0.6279011
7	1	22.90973	0	22.90973	0.251012	0.23599	0.197065	0.438368	0.412134	0.344155	-1.38225	-1.44396	-1.62422	0.5575574	0.0006767127	0.000550455	0.000435089	0	0	0.00108575	0.0002526	0.000676713	0.000676713	0.0005504549	0.0004350887	0.001085753	0.0002526001	0.0525605	0.138414	0.112544	0.409976	0.106322	0.180183	0.00378944	0.0188074	0.674235	0.00712045	0.0353395	1.26691	-5.57554	-3.97351	-0.394176	0.6307532
8	0	19.71112	0	19.71112	0.155176	0.527264	0.423094	0.0822255	0.279389	0.224191	-1.86319	-0.640054	-0.860161	-0.6350966	0.0004210086	0.000568138	0.000903477	0	0	0.00183027	0.00078179	0.000421009	0.000421009	0.0005681375	0.0009034771	0.001830267	0.0007817895	0.00708739	0.746762	0.118766	0.0474632	0.012732	0.0671895	0.857382	0.0105101	0.0102685	1.31594	0.0161312	0.0157605	-0.153872	-4.55542	-4.57867	0.4284196
9	1	22.03336	0	22.03336	1.37459	1.54749	0.298507	1.49451	1.6825	0.324549	0.318159	0.436636	-1.20896	0.08364211	0.0003438778	0.000111329	0.000452184	0	0	0.000357014	0.000526677	0.000343878	0.000343878	0.0001113292	0.0004521838	0.0003570138	0.0005266774	0.0399536	0.498954	0.268538	0.108558	0.0537967	0.0301999	0.102813	0.00448609	0.208573	1.68099	0.0733474	3.41016	-2.27484	-5.40677	-1.56747	2.794224
10	0	22.07073	0	22.07073	0.00233983	0.0333452	0.0184129	0.00378622	0.0539579	0.029795	-6.05768	-3.40084	-3.99471	0.4812897	0.00081382	9.32421e-05	0.00121155	0	0	0.000725538	0.000139732	0.00081382	0.00081382	9.324214e-05	0.001211547	0.0007255383	0.0001397317	0.021665	0.201365	0.196262	0.263618	0.00542544	0.311665	0.0102244	0.00500132	0.00921983	0.020388	0.00997284	0.0183847	-4.58297	-5.29805	-4.6864	0.6901644
11	1	22.22843	0	22.22843	0.0211627	0.124737	0.103234	0.0162738	0.0959209	0.0793854	-3.85552	-2.08155	-2.27076	-0.2626852	0.0007541702	0.000522266	0.000263451	0	0	0.00125734	1.07786e-05	0.00075417	0.00075417	0.0005222665	0.0002634513	0.001257341	1.077857e-05	0.19626	0.0226936	0.483121	0.257623	0.0268159	0.0134872	0.0168357	0.00336896	0.00621508	0.133994	0.0268134	0.0494655	-4.08425	-5.69315	-5.08078	2.074295
12	0	23.03264	0	23.03264	0.00980724	0.292746	0.233955	0.00638701	0.190652	0.152364	-4.62463	-1.22845	-1.45263	-0.428854	0.0002275319	0.000470061	0.000324166	0	0	0.00127417	4.90033e-06	0.000227532	0.000227532	0.0004700608	0.0003241663	0.001274165	4.900325e-06	0.141133	0.136592	0.197027	0.433909	0.0510777	0.0402618	0.0344738	0.0386801	3.72231	0.140523	0.157669	15.173	-3.36755	-3.25243	1.31434	1.405171
13	1	26.37483	0	26.37483	0.337241	2.35775	0.00833481	0.218263	1.52594	0.00539431	-1.08696	0.85771	-4.78732	-0.4350963	5.201238e-05	2.65008e-05	0.000209119	0	0	0.000284394	0.000493053	5.20124e-05	5.20124e-05	2.650077e-05	0.0002091192	0.0002843937	0.0004930531	0.143816	0.309207	0.164742	0.116544	0.152945	0.112746	0.945935	0.0726782	0.227639	1.01583	0.0780483	0.244459	-0.0555812	-2.62171	-1.47999	0.07128642
14	0	20.09025	0	20.09025	0.00271439	0.0260427	0.0765525	0.00141247	0.0135516	0.0398352	-5.90919	-3.64802	-2.56978	-0.6532276	0.0001979639	0.000170618	0.00152583	0	0	4.85569e-05	0.00159973	0.000197964	0.000197964	0.0001706185	0.001525829	4.855685e-05	0.001599725	0.331156	0.126261	0.136444	0.201941	0.180855	0.023343	3.53217	1.27083	0.142196	4.36073	1.56894	0.175552	1.26191	0.239673	-1.95055	0.2107269
15	1	22.10805	0	22.10805	0.197244	0.179957	5.31142	0.0533322	0.0486582	1.43614	-1.62332	-1.71504	1.66986	-1.3079	5.987206e-05	0.000299781	0.000961209	0	0	0.00105047	7.6589e-05	5.98721e-05	5.98721e-05	0.0002997814	0.0009612093	0.001050474	7.658903e-05	0.16637	0.332582	0.193609	0.0717013	0.072985	0.162753	0.148746	0.0919265	0.00215966	0.160357	0.0991021	0.00232824	-1.90551	-2.38677	-6.1378	0.07516058
16	0	14.05768	0	14.05768	0.0107574	0.000214497	0.00334397	0.040378	0.000805119	0.0125517	-4.53216	-8.44721	-5.7006	1.322694	9.637239e-05	0.00221229	0.000715019	0	0	0.000169281	0.000726354	9.63724e-05	9.63724e-05	0.002212292	0.0007150191	0.000169281	0.0007263535	0.521731	0.144975	0.149707	0.0852575	0.0117973	0.0865321	0.00304715	0.516709	0.0528554	0.0248014	4.20562	0.430203	-5.79355	-0.660276	-2.94019	2.096697
17	1	23.77136	0	23.77136	8.072	0.0131248	0.116675	21.8237	0.0354847	0.315447	2.0884	-4.33325	-2.14836	0.9945975	0.0002632094	4.082e-05	0.000594607	0	0	0.000276352	4.27157e-05	0.000263209	0.000263209	4.081999e-05	0.0005946067	0.0002763516	4.271574e-05	0.294533	0.226356	0.120415	0.173979	0.161668	0.0230496	0.534221	0.00538111	0.147778	1.26105	0.0127023	0.348836	-0.626946	-5.22486	-1.91204	0.8588926
18	0	26.64813	0	26.64813	0.123717	0.299956	0.655991	0.0844131	0.204663	0.44759	-2.08976	-1.20412	-0.421608	-0.3822702	6.82004e-05	0.000277741	0.000393856	0	0	0.000212768	0.000725651	6.82004e-05	6.82004e-05	0.000277741	0.000393856	0.0002127684	0.0007256506	0.121556	0.13924	0.104612	0.156465	0.0551092	0.423018	0.0125958	0.0155289	0.268076	0.0169043	0.0208406	0.359773	-4.37439	-4.16505	-1.31648	0.2942015
