Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_10	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
0	22.8545	0	22.8545	0.801295	0.0128696	0.0918951	0.619657	0.00995234	0.0710643	-0.221526	-4.35288	-2.38711	-0.2570629	4.087329e-05	1.64246e-05	0.00023156	0	0	0.00060147	0.000155905	4.08733e-05	4.08733e-05	1.642465e-05	0.0002315596	0.0006014699	0.0001559053	0.372079	0.143116	0.257628	0.0530259	0.0787123	0.0954397	0.111748	0.000116427	0.0288703	0.317407	0.000330698	0.0820027	-2.19151	-9.05825	-3.54494	1.043939
10	23.87975	0	23.87975	0.0431805	0.00154247	0.0417604	0.0256816	0.00091738	0.0248369	-3.14237	-6.47437	-3.17581	-0.5196162	0.0002758911	0.000284512	0.000354804	0	0	0.000582874	0.000478074	0.000275891	0.000275891	0.0002845119	0.000354804	0.0005828736	0.0004780743	0.242616	0.377365	0.149561	0.12291	0.00498057	0.102568	0.872049	0.0386099	0.0453277	4.20945	0.186373	0.2188	-0.13691	-3.25425	-3.09384	1.574241
20	16.09293	0	16.09293	0.0775783	0.000698031	0.179633	0.503621	0.00453146	1.16614	-2.55647	-7.26725	-1.71684	1.870536	0.0008777393	0.000463304	0.00055091	0	0	0.000589138	0.00204373	0.000877739	0.000877739	0.0004633042	0.0005509101	0.0005891382	0.00204373	0.0566227	0.386257	0.160874	0.0203203	0.12842	0.247506	0.0982558	0.189267	0.0398356	1.00918	1.94395	0.409149	-2.32018	-1.6646	-3.22299	2.329317
30	18.97658	0	18.97658	0.00194847	0.0616651	0.0230803	0.00128673	0.0407223	0.0152417	-6.24071	-2.78604	-3.76878	-0.4149431	0.0005023856	7.41828e-05	0.00219819	0	0	0.000184069	0.000242848	0.000502386	0.000502386	7.418283e-05	0.002198193	0.0001840689	0.0002428484	0.188227	0.299641	0.220074	0.261905	0.00192086	0.0282318	0.0255111	0.00169817	6.46356	0.0477995	0.00318181	12.1106	-3.66864	-6.37821	1.86618	0.6279011
40	19.71112	0	19.71112	0.155176	0.527264	0.423094	0.0822255	0.279389	0.224191	-1.86319	-0.640054	-0.860161	-0.6350966	0.0004210086	0.000568138	0.000903477	0	0	0.00183027	0.00078179	0.000421009	0.000421009	0.0005681375	0.0009034771	0.001830267	0.0007817895	0.00708739	0.746762	0.118766	0.0474632	0.012732	0.0671895	0.857382	0.0105101	0.0102685	1.31594	0.0161312	0.0157605	-0.153872	-4.55542	-4.57867	0.4284196
50	22.07073	0	22.07073	0.00233983	0.0333452	0.0184129	0.00378622	0.0539579	0.029795	-6.05768	-3.40084	-3.99471	0.4812897	0.00081382	9.32421e-05	0.00121155	0	0	0.000725538	0.000139732	0.00081382	0.00081382	9.324214e-05	0.001211547	0.0007255383	0.0001397317	0.021665	0.201365	0.196262	0.263618	0.00542544	0.311665	0.0102244	0.00500132	0.00921983	0.020388	0.00997284	0.0183847	-4.58297	-5.29805	-4.6864	0.6901644
60	23.03264	0	23.03264	0.00980724	0.292746	0.233955	0.00638701	0.190652	0.152364	-4.62463	-1.22845	-1.45263	-0.428854	0.0002275319	0.000470061	0.000324166	0	0	0.00127417	4.90033e-06	0.000227532	0.000227532	0.0004700608	0.0003241663	0.001274165	4.900325e-06	0.141133	0.136592	0.197027	0.433909	0.0510777	0.0402618	0.0344738	0.0386801	3.72231	0.140523	0.157669	15.173	-3.36755	-3.25243	1.31434	1.405171
70	20.09025	0	20.09025	0.00271439	0.0260427	0.0765525	0.00141247	0.0135516	0.0398352	-5.90919	-3.64802	-2.56978	-0.6532276	0.0001979639	0.000170618	0.00152583	0	0	4.85569e-05	0.00159973	0.000197964	0.000197964	0.0001706185	0.001525829	4.855685e-05	0.001599725	0.331156	0.126261	0.136444	0.201941	0.180855	0.023343	3.53217	1.27083	0.142196	4.36073	1.56894	0.175552	1.26191	0.239673	-1.95055	0.2107269
80	14.05768	0	14.05768	0.0107574	0.000214497	0.00334397	0.040378	0.000805119	0.0125517	-4.53216	-8.44721	-5.7006	1.322694	9.637239e-05	0.00221229	0.000715019	0	0	0.000169281	0.000726354	9.63724e-05	9.63724e-05	0.002212292	0.0007150191	0.000169281	0.0007263535	0.521731	0.144975	0.149707	0.0852575	0.0117973	0.0865321	0.00304715	0.516709	0.0528554	0.0248014	4.20562	0.430203	-5.79355	-0.660276	-2.94019	2.096697
90	26.64813	0	26.64813	0.123717	0.299956	0.655991	0.0844131	0.204663	0.44759	-2.08976	-1.20412	-0.421608	-0.3822702	6.82004e-05	0.000277741	0.000393856	0	0	0.000212768	0.000725651	6.82004e-05	6.82004e-05	0.000277741	0.000393856	0.0002127684	0.0007256506	0.121556	0.13924	0.104612	0.156465	0.0551092	0.423018	0.0125958	0.0155289	0.268076	0.0169043	0.0208406	0.359773	-4.37439	-4.16505	-1.31648	0.2942015
