Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_02	rate_10	rate_12	rate_20	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
0	-6559.122	-6553.006	-6.115629	0.00043564	0.0184667	0.0271278	0.000543403	0.0230347	0.0338384	-7.73869	-3.99179	-3.6072	0.2210347	0.001716048	0.00467851	0.000470931	0.00642429	0.00436441	1.58205e-05	0.00664378	0.00171605	0.00171605	0.00467851	0.006424291	0.0004709313	1.582049e-05	0.004364407	0.006643777	0.50142	0.0229352	0.0828593	0.0270527	0.226847	0.138886	0.0390805	0.0410946	0.0623157	0.0647759	0.0681141	0.103288	-3.24213	-3.19188	-2.77554	0.5053082
10	-6555.254	-6566.826	11.57201	0.00124942	0.0204032	0.038203	0.000622448	0.0101646	0.0190323	-6.68507	-3.89206	-3.26484	-0.6967769	0.0006604018	0.00375308	0.000160872	0.0042656	0.00491089	0.000332133	0.00208939	0.000660402	0.000660402	0.003753078	0.004265604	0.0001608725	0.0003321329	0.004910887	0.002089389	0.233464	0.0572393	0.026953	0.122527	0.280667	0.279149	0.0456668	0.0465797	0.0864292	0.0765308	0.0780606	0.144842	-3.08638	-3.06659	-2.44843	0.5163212
20	-6559.711	-6558.545	-1.165744	0.000967371	0.0119377	0.0485304	0.00125755	0.0155186	0.0630879	-6.94093	-4.42806	-3.02556	0.2623386	0.0006308834	0.00465001	0.000241516	0.00490947	0.0037197	0.000574257	0.00755687	0.000630883	0.000630883	0.004650014	0.004909471	0.0002415161	0.0005742573	0.003719696	0.007556869	0.69053	0.0540472	0.137529	0.0787862	0.0241511	0.0149572	0.0453151	0.0487305	0.08489	0.0790816	0.0850419	0.148146	-3.09412	-3.02145	-2.4664	0.5568401
30	-6557.372	-6552.084	-5.287825	0.00130508	0.0017398	0.0317026	0.00171592	0.00228748	0.0416826	-6.64149	-6.35399	-3.45136	0.2736834	0.0003756448	0.00324936	0.000101864	0.0101446	0.00663216	4.01089e-05	0.00329448	0.000375645	0.000375645	0.003249363	0.01014461	0.0001018637	4.010889e-05	0.006632162	0.003294479	0.166139	0.139095	0.0556596	0.138824	0.462137	0.0381447	0.0421451	0.0406176	0.0765755	0.06645	0.0640415	0.120736	-3.16664	-3.20356	-2.56948	0.4553314
40	-6552.51	-6555.677	3.167644	0.00157125	0.0187794	0.0443271	0.00390714	0.0466978	0.110226	-6.45588	-3.97499	-3.11616	0.9109348	0.0006339528	0.00293298	5.94964e-05	0.00789934	0.00469933	4.7171e-05	0.00392552	0.000633953	0.000633953	0.002932977	0.007899338	5.949644e-05	4.717102e-05	0.004699334	0.003925517	0.521885	0.322345	0.085684	0.0120787	0.0289059	0.0291021	0.0486749	0.0629747	0.094333	0.102675	0.132838	0.198985	-3.02259	-2.76502	-2.36092	0.746401
50	-6552.703	-6560.225	7.521376	0.00463057	0.0120033	0.0278704	0.00270086	0.00700111	0.0162559	-5.37508	-4.42258	-3.58019	-0.5391094	0.00140284	0.00486874	2.6442e-05	0.00485392	0.00485333	0.000630515	0.00202919	0.00140284	0.00140284	0.00486874	0.004853921	2.644198e-05	0.0006305147	0.004853327	0.002029191	0.0693364	0.213277	0.281788	0.105178	0.0495315	0.28089	0.0441638	0.0425517	0.0796456	0.0659613	0.0635535	0.118955	-3.11985	-3.15703	-2.53017	0.4011617
60	-6555.917	-6558.428	2.511052	0.00381382	0.0252757	0.062789	0.00164206	0.0108826	0.0270341	-5.56912	-3.67791	-2.76798	-0.8426809	0.001638378	0.00353175	0.00035837	0.00637341	0.00468248	0.000555732	0.00399654	0.00163838	0.00163838	0.003531751	0.006373407	0.0003583699	0.0005557315	0.004682481	0.003996542	0.241694	0.120887	0.214033	0.219389	0.0335646	0.170432	0.0458047	0.0443158	0.0791629	0.0655296	0.0633995	0.113253	-3.08337	-3.11641	-2.53625	0.358115
70	-6554.516	-6556.483	1.967517	0.00117552	0.00997997	0.0444117	0.00108303	0.00919478	0.0409176	-6.74605	-4.60718	-3.11425	-0.0819437	0.00108824	0.00462473	0.000114566	0.0064707	0.00539086	0.000220886	0.00296131	0.00108824	0.00108824	0.004624731	0.006470703	0.0001145656	0.0002208864	0.00539086	0.002961314	0.281556	0.103553	0.121954	0.280539	0.170348	0.0420501	0.0439478	0.0432288	0.111292	0.0662459	0.065162	0.167759	-3.12475	-3.14125	-2.1956	0.4103693
80	-6556.214	-6562.599	6.384197	0.00399089	0.0177258	0.0323383	0.00218073	0.00968584	0.0176705	-5.52374	-4.03273	-3.4315	-0.6043563	0.001406641	0.00577488	1.42202e-05	0.00357038	0.00607024	0.00135375	0.00107366	0.00140664	0.00140664	0.005774884	0.003570379	1.422015e-05	0.001353748	0.006070236	0.001073663	0.0898163	0.301541	0.118999	0.121372	0.205456	0.162817	0.0467631	0.0462562	0.0872669	0.0668243	0.0660999	0.124704	-3.06266	-3.07356	-2.43878	0.3569731
90	-6554.637	-6566.832	12.19447	0.0014154	0.0339347	0.0590094	0.00108475	0.0260071	0.045224	-6.56034	-3.38332	-2.83006	-0.2660685	0.001087333	0.0030184	0.000296933	0.00434046	0.00458565	0.000121611	0.00271454	0.00108733	0.00108733	0.003018404	0.004340463	0.0002969332	0.0001216114	0.004585652	0.002714544	0.147712	0.172286	0.181581	0.204671	0.0453076	0.248443	0.0439749	0.0555524	0.0886048	0.0649009	0.0819879	0.130769	-3.12414	-2.89043	-2.42357	0.3892439
