Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_02	rate_10	rate_12	rate_20	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
0	-6262.822	-6266.56	3.738287	0.00149007	0.0285405	0.0405077	0.000427486	0.00818799	0.0116213	-6.50893	-3.55643	-3.20626	-1.248655	0.0009693721	0.00762139	0.00020544	0.00705123	0.00645064	4.08524e-06	0.00533666	0.000969372	0.000969372	0.007621388	0.007051225	0.00020544	4.085242e-06	0.006450643	0.005336658	0.238483	0.110348	0.307539	0.197063	0.137077	0.00948999	0.0654412	0.0645839	0.0967741	0.0949052	0.0936619	0.140345	-2.7266	-2.73979	-2.33538	0.3717262
10	-6267.539	-6267.485	-0.05367273	0.00391544	0.0312977	0.064338	0.00230864	0.0184539	0.0379351	-5.54283	-3.46421	-2.74361	-0.5282718	0.001101059	0.00650319	0.000360787	0.00908102	0.00766827	0.000334279	0.00674596	0.00110106	0.00110106	0.006503188	0.009081019	0.0003607871	0.0003342794	0.007668273	0.006745959	0.330235	0.110576	0.0269195	0.289083	0.236843	0.00634254	0.0744187	0.0730203	0.0984998	0.0960455	0.0942407	0.127125	-2.59805	-2.61702	-2.3177	0.2551145
20	-6264.955	-6272.023	7.068105	0.00324897	0.086699	0.112319	0.002097	0.0559586	0.0724945	-5.72942	-2.44531	-2.18641	-0.4378302	0.0007410856	0.00752111	0.000197238	0.00588203	0.00741506	0.000555686	0.00423867	0.000741086	0.000741086	0.007521108	0.005882034	0.0001972377	0.0005556858	0.007415059	0.004238665	0.0809115	0.166951	0.0410382	0.154664	0.555956	0.000478761	0.0687902	0.101326	0.13871	0.0890086	0.131107	0.179479	-2.67669	-2.28941	-1.97537	0.2576719
30	-6265.79	-6271.748	5.958666	0.00703005	0.105692	0.143251	0.00291499	0.0438248	0.0593985	-4.95756	-2.24723	-1.94316	-0.880327	0.0007120865	0.00757966	0.000250784	0.00584858	0.00774388	0.000250981	0.00525225	0.000712086	0.000712086	0.007579655	0.005848577	0.0002507841	0.0002509813	0.007743879	0.005252251	0.25763	0.223853	0.157179	0.258528	0.0992438	0.00356779	0.0718245	0.0943289	0.135394	0.0876513	0.115115	0.165228	-2.63353	-2.36097	-1.99957	0.1991409
40	-6271.651	-6273.879	2.228122	0.0102229	0.0397505	0.131229	0.00526399	0.0204684	0.0675726	-4.58313	-3.22513	-2.03082	-0.6637378	0.0007525673	0.00428997	0.00025386	0.0142633	0.00806108	0.000388964	0.00254734	0.000752567	0.000752567	0.004289967	0.01426326	0.0002538598	0.0003889636	0.008061083	0.002547342	0.218094	0.0921625	0.531599	0.0154989	0.142116	0.000529361	0.0770067	0.0721177	0.133247	0.103534	0.0969609	0.179148	-2.56386	-2.62946	-2.01555	0.296008
50	-6266.846	-6265.551	-1.295093	0.00321701	0.0219662	0.0523967	0.00124374	0.00849247	0.0202573	-5.7393	-3.81825	-2.94891	-0.950327	0.002118759	0.00838391	0.000100018	0.00486427	0.0110404	0.000160987	0.00558387	0.00211876	0.00211876	0.008383909	0.004864275	0.0001000182	0.0001609869	0.01104044	0.00558387	0.289746	0.275869	0.0778883	0.262658	0.0936272	0.000211213	0.0704454	0.0703883	0.116098	0.0900826	0.0900095	0.148461	-2.65292	-2.65373	-2.15332	0.245888
60	-6277.887	-6273.851	-4.035405	0.0020861	0.00646535	0.0345706	0.000568306	0.00176132	0.00941789	-6.17246	-5.0413	-3.36475	-1.300394	0.003542517	0.00674161	0.000567407	0.00434684	0.00970586	0.000560784	0.00740319	0.00354252	0.00354252	0.00674161	0.004346838	0.000567407	0.0005607839	0.009705863	0.007403194	0.372305	0.244035	0.244482	0.0390941	0.0952567	0.00482689	0.0654597	0.0591914	0.102464	0.118771	0.107398	0.185912	-2.72632	-2.82698	-2.27825	0.5957625
70	-6265.247	-6271.007	5.759928	0.00479371	0.0106737	0.0312739	0.00158401	0.00352696	0.010334	-5.34045	-4.53998	-3.46497	-1.107343	0.001103947	0.00636154	0.000190417	0.00609039	0.00946492	0.000259215	0.00331362	0.00110395	0.00110395	0.006361538	0.006090394	0.0001904168	0.0002592153	0.009464921	0.003313625	0.444178	0.121366	0.174387	0.07623	0.100853	0.0829856	0.0702496	0.0731697	0.112307	0.0897905	0.093523	0.143547	-2.6557	-2.61497	-2.18652	0.2454255
80	-6265.044	-6263.274	-1.770316	0.00380778	0.0297459	0.0468254	0.00101341	0.00791666	0.0124622	-5.57071	-3.51506	-3.06133	-1.323722	0.002036239	0.00704285	2.4386e-05	0.00956403	0.00785651	0.000733486	0.00515577	0.00203624	0.00203624	0.007042846	0.009564027	2.438604e-05	0.0007334862	0.007856508	0.005155767	0.076311	0.269992	0.183338	0.258781	0.0812239	0.130355	0.0674618	0.0695309	0.0980926	0.0913703	0.0941726	0.132857	-2.69619	-2.66598	-2.32184	0.3033581
90	-6263.331	-6269.18	5.848184	0.0015713	0.0413213	0.0332515	0.000814316	0.0214145	0.0172324	-6.45585	-3.18638	-3.40366	-0.65731	0.0005172912	0.00777156	8.92203e-06	0.00707364	0.00794996	0.000495827	0.00278028	0.000517291	0.000517291	0.007771564	0.00707364	8.922025e-06	0.0004958268	0.007949958	0.00278028	0.292173	0.135571	0.018246	0.0859244	0.110046	0.358039	0.0714867	0.0684622	0.100088	0.101021	0.0967469	0.141438	-2.63824	-2.68147	-2.30171	0.3458162
100	-6271.185	-6275.262	4.077609	0.0024222	0.0272662	0.0234425	0.000902052	0.0101542	0.00873022	-6.02308	-3.60211	-3.7532	-0.9877608	0.0007236105	0.00631071	0.000113397	0.00580607	0.0103177	0.00131551	0.00334928	0.000723611	0.000723611	0.006310708	0.005806069	0.0001133974	0.001315507	0.0103177	0.003349276	0.0845283	0.284142	0.00562161	0.0735632	0.0233328	0.528812	0.0778078	0.0849564	0.12577	0.101077	0.110364	0.163384	-2.55351	-2.46562	-2.0733	0.2616442
110	-6274.355	-6267.533	-6.822423	0.000502292	0.0312171	0.102648	0.000168831	0.0104927	0.0345022	-7.59633	-3.46679	-2.27645	-1.090285	0.0005438724	0.00621943	0.000298074	0.0120811	0.00619736	0.000140559	0.00944215	0.000543872	0.000543872	0.006219428	0.01208113	0.0002980735	0.0001405594	0.006197363	0.009442152	0.016356	0.068835	0.0815487	0.106532	0.173385	0.553344	0.0692114	0.0728639	0.123234	0.0829198	0.0872957	0.147643	-2.67059	-2.61916	-2.09367	0.1807082
