Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta	hidden_rate	Q[1]	Q[2]	R[1]	R[2]	rate_01	rate_10	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta
0	-6356.251	-6353.29	-2.9608	0.000551602	0.00774809	0.000470321	0.00660638	-7.50268	-4.86031	-0.159411	0.0007419376	0.00301414	0.00413077	0.000741938	0.000741938	0.003014141	0.004130769	0.539852	0.124807	0.194016	0.141325	0.043599	0.0457522	0.0878695	0.0922091	-3.13272	-3.08452	0.7008181
10	-6352.004	-6351.023	-0.9811269	0.00617748	0.0206713	0.0151312	0.0506326	-5.08684	-3.87901	0.8958509	0.0008832377	0.00291811	0.00418105	0.000883238	0.000883238	0.002918109	0.004181052	0.661523	0.205584	0.00495088	0.127942	0.0479653	0.0604477	0.0969407	0.122168	-3.03728	-2.80598	0.7036222
20	-6355.487	-6355.485	-0.00165961	0.000777874	0.0347827	0.000691875	0.0309373	-7.15895	-3.35863	-0.1171592	0.001576493	0.00383121	0.00168313	0.00157649	0.00157649	0.003831205	0.001683129	0.450438	0.473667	0.00479196	0.0711034	0.0486438	0.0606635	0.065942	0.0822359	-3.02323	-2.80241	0.3042508
30	-6353.386	-6349.048	-4.337961	0.000354147	0.0428986	0.00019048	0.0230732	-7.9458	-3.14892	-0.6201665	0.0009730737	0.00298775	0.00470154	0.000973074	0.000973074	0.002987754	0.004701537	0.215524	0.141461	0.356912	0.286103	0.0445416	0.0706928	0.0611798	0.0970996	-3.11133	-2.64941	0.317394
40	-6356.393	-6356.812	0.4193602	0.00061359	0.0595163	0.000580948	0.0563502	-7.39618	-2.82151	-0.0546647	0.001000401	0.00335932	0.00243102	0.0010004	0.0010004	0.003359317	0.002431022	0.046864	0.201268	0.447287	0.304581	0.0503376	0.0939587	0.0655545	0.122362	-2.989	-2.3649	0.2641297
50	-6353.825	-6354.929	1.103974	0.00471044	0.0859926	0.00566303	0.103383	-5.35797	-2.45349	0.1841786	0.001559683	0.00306548	0.00266	0.00155968	0.00155968	0.003065476	0.002659997	0.337437	0.284767	0.327371	0.0504244	0.0437522	0.11288	0.0629161	0.162323	-3.12921	-2.18143	0.363261
60	-6350.824	-6355.009	4.185248	0.00481982	0.0750078	0.00275385	0.0428565	-5.33502	-2.59016	-0.5597341	0.0002245838	0.00287279	0.00254947	0.000224584	0.000224584	0.002872785	0.002549472	0.22037	0.295294	0.13981	0.344526	0.0522015	0.106894	0.0888919	0.182026	-2.95264	-2.23591	0.5323094
70	-6352.683	-6357.094	4.411082	0.00769955	0.0393007	0.00820097	0.0418601	-4.86659	-3.23651	0.06308975	0.0005362477	0.00319048	0.00212448	0.000536248	0.000536248	0.003190485	0.002124478	0.169872	0.240097	0.472482	0.11755	0.0484218	0.0808923	0.0662312	0.110644	-3.0278	-2.51464	0.3132008
80	-6351.624	-6352.057	0.4323759	0.00130742	0.0711647	0.00143857	0.0783035	-6.6397	-2.64276	0.09559553	0.001266032	0.00322361	0.00262488	0.00126603	0.00126603	0.003223611	0.002624882	0.258954	0.0548464	0.433617	0.252582	0.0463867	0.0846549	0.0690036	0.12593	-3.07074	-2.46917	0.3971444
90	-6351.07	-6353.623	2.55334	0.0100129	0.0429783	0.00836251	0.0358945	-4.60388	-3.14706	-0.1801129	0.0002521182	0.00306193	0.00339958	0.000252118	0.000252118	0.003061929	0.00339958	0.674378	0.273503	0.0244829	0.0276362	0.0562127	0.0763346	0.0970791	0.13183	-2.87861	-2.57263	0.5463838
100	-6354.438	-6354.509	0.07151208	0.000877742	0.045617	0.00131181	0.0681757	-7.03816	-3.08747	0.4018074	0.0008371995	0.00355726	0.00248377	0.000837199	0.000837199	0.003557262	0.002483768	0.181517	0.607661	0.0718769	0.138946	0.0440556	0.0691233	0.0930092	0.145931	-3.1223	-2.67186	0.7472456
110	-6354.256	-6358.975	4.719961	0.00478504	0.0290342	0.00256608	0.0155702	-5.34226	-3.53928	-0.6231139	9.43312e-05	0.00294314	0.00222576	9.43312e-05	9.43312e-05	0.002943137	0.002225756	0.136917	0.462115	0.235265	0.165703	0.0481217	0.0665934	0.0959198	0.132739	-3.03402	-2.70915	0.6897788
120	-6352.62	-6355.786	3.165482	0.00775707	0.0453135	0.00167133	0.00976322	-4.85915	-3.09415	-1.534984	7.567412e-05	0.00247319	0.00319987	7.56741e-05	7.56741e-05	0.002473191	0.003199874	0.14839	0.477247	0.0852334	0.289129	0.0538757	0.0812305	0.0998461	0.150542	-2.92108	-2.51046	0.6169509
130	-6351.566	-6352.018	0.4526875	0.010174	0.0517806	0.0207257	0.105484	-4.58792	-2.96074	0.7115434	0.001065535	0.00274487	0.00378303	0.00106553	0.00106553	0.00274487	0.003783034	0.245715	0.0439889	0.186356	0.52394	0.0525883	0.0880488	0.0980584	0.16418	-2.94526	-2.42986	0.6230698
140	-6350.108	-6352.861	2.753186	0.00423075	0.0542103	0.00435561	0.0558101	-5.46538	-2.91489	0.0290853	0.0006947354	0.00261184	0.00317391	0.000694735	0.000694735	0.002611839	0.00317391	0.183134	0.0165425	0.431903	0.368421	0.043982	0.0794921	0.0620442	0.112137	-3.12397	-2.5321	0.3440673
150	-6352.988	-6354.58	1.591669	0.00212843	0.0632926	0.00198051	0.0588937	-6.15237	-2.75999	-0.07203416	0.0007074057	0.0030969	0.00305459	0.000707406	0.000707406	0.003096896	0.003054593	0.513521	0.0686154	0.399996	0.0178677	0.0518193	0.088627	0.0640865	0.109608	-2.95999	-2.42332	0.2124714
160	-6350.569	-6350.505	-0.06420275	0.00235741	0.0485959	0.00161688	0.0333305	-6.05019	-3.02422	-0.3770666	0.0003024705	0.00366913	0.00347662	0.00030247	0.00030247	0.003669129	0.003476625	0.507029	0.0348687	0.267007	0.191095	0.0488523	0.0809024	0.0958914	0.158802	-3.01895	-2.51451	0.6744135
170	-6358.001	-6354.477	-3.523507	5.71411e-05	0.0412496	7.14035e-05	0.0515455	-9.76999	-3.18811	0.2228226	0.001819245	0.00341644	0.00163193	0.00181924	0.00181924	0.003416437	0.001631926	0.705709	0.00260597	0.08239	0.209295	0.0401893	0.0730226	0.0684619	0.124393	-3.21415	-2.61699	0.5326757
180	-6356.154	-6359.871	3.716609	0.00199927	0.0814157	0.00270331	0.110086	-6.21497	-2.50819	0.3016919	0.0003835698	0.00316087	0.00210386	0.00038357	0.00038357	0.003160866	0.002103865	0.0366175	0.254023	0.497105	0.212254	0.0494941	0.123357	0.0748996	0.186677	-3.0059	-2.09267	0.4142958
190	-6354.029	-6347.332	-6.696302	0.000227517	0.074079	0.00036559	0.119035	-8.38829	-2.60262	0.4742878	0.00199933	0.00174791	0.00576386	0.00199933	0.00199933	0.001747912	0.005763865	0.00125167	0.609787	0.0628614	0.3261	0.04092	0.100498	0.0614909	0.15102	-3.19614	-2.29761	0.4072688
200	-6359.394	-6358.771	-0.6236367	0.001704	0.0399018	0.00105687	0.0247481	-6.37477	-3.22133	-0.4776727	0.0004989735	0.00128077	0.00585476	0.000498974	0.000498974	0.001280771	0.005854764	0.0812322	0.587715	0.0965292	0.234523	0.0491063	0.0687684	0.0823003	0.115253	-3.01377	-2.67701	0.5163868
