Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta	hidden_rate	Q[1]	Q[2]	R[1]	R[2]	rate_01	rate_10	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta
0	-6070.8	-6068.8	-2.000307	0.00497278	0.0436411	0.00504007	0.0442316	-5.30378	-3.13176	0.0134408	0.003019188	0.00519155	0.00387421	0.00301919	0.00301919	0.005191554	0.003874212	0.803899	0.124131	0.0709198	0.0010498	0.0761771	0.0860471	0.13234	0.149486	-2.57469	-2.45286	0.5523105
10	-6066.267	-6068.074	1.807672	0.00269667	0.0519031	0.00202413	0.0389588	-5.91574	-2.95838	-0.2868758	0.0009710446	0.00490351	0.00289366	0.000971045	0.000971045	0.004903509	0.002893656	0.737368	0.034936	0.220086	0.00760949	0.0725665	0.106975	0.143809	0.211999	-2.62325	-2.23516	0.6839831
20	-6064.736	-6066.371	1.635721	0.00329923	0.0502135	0.00181127	0.027567	-5.71407	-2.99147	-0.5996644	0.002030149	0.00409024	0.00307599	0.00203015	0.00203015	0.004090235	0.003075989	0.376381	0.374482	0.237263	0.0118744	0.0736955	0.0864505	0.100724	0.118157	-2.60781	-2.44818	0.3124462
30	-6063.51	-6064.095	0.5844824	0.00656859	0.0586474	0.00285047	0.0254503	-5.02546	-2.83621	-0.8348148	0.001602936	0.00358101	0.00504646	0.00160294	0.00160294	0.003581006	0.005046458	0.362023	0.33843	0.0321877	0.26736	0.0681136	0.0932169	0.097254	0.133097	-2.68658	-2.37283	0.3561492
40	-6068.77	-6069.879	1.109254	0.007492	0.0249156	0.00898652	0.0298858	-4.89392	-3.69226	0.1818907	0.002419796	0.00454568	0.0029558	0.0024198	0.0024198	0.004545676	0.002955798	0.0544448	0.0711547	0.0505603	0.82384	0.0691061	0.0748536	0.108135	0.117128	-2.67211	-2.59222	0.4477342
50	-6067.525	-6070.218	2.692905	0.00174533	0.0155509	0.000606808	0.00540667	-6.35081	-4.16364	-1.056485	0.0009465008	0.00303257	0.00316293	0.000946501	0.000946501	0.003032566	0.00316293	0.456375	0.090647	0.249374	0.203605	0.0721949	0.09959	0.140238	0.193453	-2.62839	-2.30669	0.6639737
60	-6069.444	-6068.443	-1.000522	0.00097231	0.0539238	0.00232847	0.129136	-6.93584	-2.92018	0.8732919	0.001606974	0.00345721	0.0046863	0.00160697	0.00160697	0.003457209	0.004686302	0.19487	0.00854061	0.0119338	0.784655	0.0717623	0.122143	0.156161	0.265794	-2.6344	-2.10256	0.7775263
70	-6068.715	-6072.429	3.713936	0.00212704	0.0588738	0.000972071	0.0269056	-6.15302	-2.83236	-0.7830596	0.001588646	0.00362604	0.00198556	0.00158865	0.00158865	0.003626042	0.001985558	0.21829	0.450213	0.0120944	0.319403	0.0640303	0.0737103	0.0946566	0.108967	-2.7484	-2.60761	0.3908991
80	-6070.947	-6063.237	-7.709907	0.00670473	0.0409028	0.00687239	0.0419257	-5.00494	-3.19656	0.02469865	0.00393482	0.00404109	0.00855525	0.00393482	0.00393482	0.004041087	0.008555251	0.447364	0.040553	0.313258	0.198825	0.0643944	0.0953667	0.103479	0.15325	-2.74273	-2.35003	0.4743414
90	-6069.292	-6064.987	-4.304943	0.00175417	0.0333262	0.000876283	0.0166478	-6.34576	-3.40141	-0.6940644	0.001184531	0.00382008	0.0079183	0.00118453	0.00118453	0.003820082	0.007918299	0.0567277	0.162456	0.303913	0.476903	0.0684804	0.0727135	0.110916	0.117772	-2.68121	-2.62123	0.4822268
100	-6067.338	-6071.896	4.557745	0.00167294	0.0649481	0.000664972	0.025816	-6.39317	-2.73417	-0.9225934	0.0005391115	0.00423753	0.00169862	0.000539112	0.000539112	0.004237529	0.001698622	0.210364	0.587481	0.148328	0.0538268	0.071666	0.0968048	0.0874684	0.11815	-2.63574	-2.33506	0.1992612
110	-6065.148	-6067.006	1.857725	0.00854067	0.0144146	0.0141444	0.0238725	-4.76292	-4.23951	0.5044818	0.00137568	0.00308135	0.00472559	0.00137568	0.00137568	0.003081353	0.004725591	0.652677	0.0494787	0.285293	0.0125508	0.074492	0.0860849	0.116749	0.134919	-2.59706	-2.45242	0.4493368
120	-6071.22	-6070.872	-0.3476037	0.00238157	0.0732363	0.00122859	0.0377807	-6.04	-2.61406	-0.6618931	0.001272886	0.00429179	0.00473922	0.00127289	0.00127289	0.004291789	0.004739225	0.278081	0.553426	0.042201	0.126292	0.0605652	0.0695244	0.0987578	0.113367	-2.80403	-2.66608	0.4889496
130	-6070.106	-6076.179	6.072925	0.00791745	0.0915971	0.00334467	0.0386945	-4.83869	-2.39036	-0.8617021	0.0001670882	0.00314382	0.00292057	0.000167088	0.000167088	0.003143824	0.002920565	0.0225417	0.423966	0.531183	0.0223091	0.0545468	0.0892983	0.0773386	0.126611	-2.9087	-2.41577	0.3491355
140	-6067.171	-6064.781	-2.389978	0.00458881	0.0661038	0.00122284	0.0176156	-5.38413	-2.71653	-1.322443	0.001430956	0.0044579	0.0060892	0.00143096	0.00143096	0.004457901	0.006089197	0.328379	0.464187	0.198055	0.00937881	0.0782917	0.0917438	0.09758	0.114346	-2.54731	-2.38875	0.2202307
150	-6068.851	-6065.276	-3.57431	0.000348955	0.0511877	6.63085e-05	0.0097267	-7.96057	-2.97226	-1.660624	0.0009142332	0.00423575	0.00506295	0.000914233	0.000914233	0.004235754	0.005062954	0.255301	0.316516	0.0120927	0.41609	0.0684767	0.0708435	0.100585	0.104062	-2.68126	-2.64728	0.3845098
160	-6066.291	-6064.376	-1.915202	0.000954254	0.0632694	0.00040342	0.0267477	-6.95458	-2.76035	-0.8609526	0.0009899144	0.00430808	0.00549342	0.000989914	0.000989914	0.00430808	0.005493424	0.112916	0.116908	0.562696	0.20748	0.0701137	0.109624	0.0951972	0.148842	-2.65764	-2.2107	0.3058321
170	-6067.654	-6067.711	0.05721534	0.00129063	0.0692828	0.000144124	0.00773678	-6.65262	-2.66956	-2.192211	0.0006606749	0.00346325	0.0039291	0.000660675	0.000660675	0.003463246	0.003929101	0.34406	0.0578862	0.257464	0.34059	0.0708807	0.0912869	0.098793	0.127235	-2.64676	-2.39375	0.3320293
180	-6065.077	-6066.306	1.229444	0.00495743	0.0209987	0.002841	0.0120339	-5.30687	-3.8633	-0.5567329	0.001083109	0.003302	0.0051174	0.00108311	0.00108311	0.003301997	0.005117404	0.347602	0.197167	0.349641	0.10559	0.0722043	0.074732	0.107853	0.111628	-2.62826	-2.59385	0.4012655
190	-6067.362	-6069.518	2.155741	0.00755818	0.0117403	0.0169697	0.0263595	-4.88513	-4.44473	0.8087983	0.001297832	0.00340801	0.00397464	0.00129783	0.00129783	0.003408007	0.003974639	0.103295	0.0590861	0.0118325	0.825786	0.0761228	0.0779838	0.118133	0.121021	-2.57541	-2.55125	0.4394614
200	-6065.497	-6064.969	-0.5278168	0.00159279	0.0498214	0.000367589	0.0114979	-6.44227	-2.99931	-1.466279	0.001705261	0.00479401	0.00311344	0.00170526	0.00170526	0.00479401	0.003113442	0.168296	0.113134	0.51095	0.207619	0.0682307	0.0904902	0.094346	0.125125	-2.68486	-2.40251	0.3240743
210	-6069.115	-6072.903	3.787217	0.0194685	0.023705	0.0287217	0.0349718	-3.93896	-3.74207	0.3888557	0.0004411858	0.00394783	0.00391014	0.000441186	0.000441186	0.003947826	0.003910137	0.245365	0.631726	0.0640773	0.058832	0.0760984	0.0827503	0.11308	0.122965	-2.57573	-2.49193	0.3960705
220	-6066.721	-6069.854	3.132378	0.00669296	0.0348489	0.00878184	0.0457252	-5.0067	-3.35673	0.2716301	0.0009659468	0.00335553	0.0039551	0.000965947	0.000965947	0.003355531	0.003955097	0.290848	0.0833388	0.0780614	0.547751	0.07351	0.0943167	0.142191	0.182438	-2.61033	-2.3611	0.6597519
230	-6064.037	-6061.676	-2.360896	0.0033686	0.0626359	0.00110336	0.0205159	-5.69326	-2.77042	-1.11614	0.001809024	0.00453947	0.00548453	0.00180902	0.00180902	0.004539471	0.005484531	0.421615	0.0870946	0.117717	0.373573	0.0671293	0.0927717	0.0969147	0.133935	-2.70113	-2.37761	0.36721
240	-6064.146	-6063.693	-0.4530623	0.00759477	0.083079	0.0044066	0.0482037	-4.8803	-2.48796	-0.544356	0.002440676	0.00487324	0.00394972	0.00244068	0.00244068	0.004873237	0.003949722	0.301022	0.526237	0.0548416	0.1179	0.0709104	0.100172	0.0996176	0.140726	-2.64634	-2.30086	0.3399214
250	-6064.725	-6065.066	0.3410286	0.00178333	0.0787881	0.00178433	0.0788322	-6.32927	-2.54099	0.0005595275	0.0009903524	0.00484372	0.00394972	0.000990352	0.000990352	0.004843724	0.003949722	0.790613	0.150341	0.0361877	0.0228587	0.0658426	0.102653	0.105316	0.164194	-2.72049	-2.2764	0.4696961
260	-6068.81	-6068.425	-0.3852625	0.00256018	0.0169164	0.00415113	0.0274285	-5.96768	-4.07947	0.4833026	0.001647498	0.0033269	0.00515933	0.0016475	0.0016475	0.003326902	0.005159333	0.244153	0.27203	0.318829	0.164988	0.0589874	0.0661046	0.0999399	0.111998	-2.83043	-2.71652	0.5272451
270	-6065.876	-6067.835	1.958403	0.00510056	0.0446697	0.00151017	0.0132257	-5.2784	-3.10846	-1.217131	0.001695026	0.00503522	0.00200607	0.00169503	0.00169503	0.00503522	0.002006072	0.473712	0.34412	0.0942488	0.087919	0.0688692	0.079362	0.099108	0.114208	-2.67555	-2.53374	0.3640001
280	-6066.441	-6068.483	2.042025	0.0065089	0.0587096	0.00522254	0.0471067	-5.03458	-2.83515	-0.2201866	0.0006917519	0.00556843	0.00303568	0.000691752	0.000691752	0.005568434	0.003035677	0.318044	0.274042	0.080822	0.327093	0.0756982	0.0909419	0.12247	0.147132	-2.581	-2.39753	0.4811094
