Iteration	Posterior	Likelihood	Prior	b_long	b_med	b_short	height_bg	height_mol	root_age
0	-184187.6	-185129.4	941.7898	1	0	0	138.9196	1.15	120
1	-147421.2	-148363	941.7893	1	0	0	21.3885	0.9859297	92.78689
2	-139562.7	-140504.5	941.7899	1	0	0	1.351096	0.3747897	53.24437
3	-135932.3	-136874.1	941.79	1	0	0	1.304015	0.3626025	102.7726
4	-134006.1	-134947.9	941.7893	1	0	0	1.668177	0.3230323	230.5889
5	-132440.7	-133382.5	941.7899	1	0	0	1.830238	0.354502	147.0913
6	-131361.9	-132303.7	941.7878	1	0	0	1.782284	0.3452137	131.0393
7	-130566.9	-131508.7	941.7882	1	0	0	1.40127	0.3647188	182.4225
8	-129989.7	-130931.5	941.7867	1	0	0	1.454548	0.3785858	193.6954
9	-129268.6	-130210.4	941.7864	1	0	0	1.623468	0.4225521	181.0162
10	-128970.8	-129912.6	941.7859	1	0	0	1.706818	0.4304399	167.9594
11	-128641.2	-129583	941.7821	1	0	0	1.573999	0.443017	230.601
12	-128439.6	-129381.3	941.7805	1	0	0	1.647701	0.4637614	111.5809
13	-128326.6	-129268.4	941.7822	1	0	0	1.703436	0.4794483	76.62772
14	-128151.8	-129093.6	941.7803	1	0	0	1.501403	0.4886656	191.596
15	-128074.4	-129016.1	941.778	1	0	0	1.410757	0.4949326	180.783
16	-127983.6	-128925.4	941.7773	1	0	0	1.608398	0.4964942	155.6209
17	-127921.3	-128863.1	941.775	1	0	0	1.614091	0.4982517	198.6145
18	-127762.4	-128704.1	941.7765	1	0	0	1.559319	0.5137241	182.4856
19	-127706.4	-128648.2	941.7755	1	0	0	1.574805	0.5107565	119.36
20	-127610.4	-128552.1	941.7704	1	0	0	1.709398	0.5112183	236.4309
21	-127526.7	-128468.5	941.7726	1	0	0	1.732997	0.5182759	208.9046
22	-127493.7	-128435.5	941.7688	1	0	0	1.479502	0.5138957	127.7804
23	-127418.9	-128360.7	941.7675	1	0	0	1.447017	0.5153964	131.9819
24	-127393.6	-128335.4	941.7658	1	0	0	1.476467	0.5354608	91.2585
25	-127319.2	-128260.9	941.7621	1	0	0	1.475471	0.5322408	85.7441
26	-127273.4	-128215.1	941.7614	1	0	0	1.548385	0.5171325	34.56797
27	-127191.1	-128132.8	941.7612	1	0	0	1.451067	0.5391829	16.65423
28	-127185.3	-128127	941.7619	1	0	0	1.464332	0.5441119	22.43175
29	-127128	-128069.8	941.7588	1	0	0	1.677682	0.5442155	16.3571
30	-127157.8	-128099.6	941.7609	1	0	0	1.638417	0.5314784	35.69018
31	-127090.5	-128032.2	941.7606	1	0	0	1.670328	0.5560987	85.35588
32	-127079.9	-128021.7	941.7584	1	0	0	1.480233	0.5577785	70.00804
33	-127062.1	-128003.9	941.7582	1	0	0	1.485751	0.5598578	25.07292
34	-127012.6	-127954.3	941.7572	1	0	0	1.498706	0.5647392	43.96314
35	-127004.1	-127945.8	941.7551	1	0	0	1.530258	0.5766287	187.615
36	-126956.7	-127898.5	941.755	1	0	0	1.520967	0.5694412	137.7603
37	-126942.1	-127883.8	941.7537	1	0	0	1.387196	0.5684694	14.95204
38	-126947.8	-127889.6	941.7564	1	0	0	1.375407	0.5636383	14.2879
39	-126901.3	-127843.1	941.7532	1	0	0	1.692433	0.5711298	21.09655
40	-126883.6	-127825.3	941.7549	1	0	0	1.470972	0.579043	18.00667
41	-126852.1	-127793.9	941.7526	1	0	0	1.461118	0.5598667	7.861227
42	-126847.3	-127789.1	941.7534	1	0	0	1.475663	0.5654401	20.59636
43	-126840.4	-127782.2	941.752	1	0	0	1.44068	0.5699895	22.19319
44	-126875.4	-127817.1	941.7502	1	0	0	1.415439	0.5600033	55.77472
45	-126855.7	-127797.5	941.7508	1	0	0	1.403335	0.5552146	101.0835
46	-126862.8	-127804.6	941.7531	1	0	0	1.573516	0.5555098	210.2013
47	-126831.7	-127773.5	941.7524	1	0	0	1.479189	0.5595505	183.4671
48	-126858.1	-127799.9	941.7504	1	0	0	1.500305	0.5657748	131.6663
49	-126842.3	-127784	941.7523	1	0	0	1.500305	0.5657748	193.1436
50	-126850.9	-127792.7	941.7528	1	0	0	1.480716	0.5583875	127.9645
51	-126850	-127791.8	941.7515	1	0	0	1.432649	0.5684544	126.1192
52	-126898.4	-127840.2	941.7509	1	0	0	1.418042	0.5626585	218.6448
53	-126878.6	-127820.4	941.7499	1	0	0	1.38783	0.550671	201.1559
54	-126860.7	-127802.4	941.7527	1	0	0	1.393262	0.5528264	58.06048
55	-126849.2	-127791	941.7518	1	0	0	1.330824	0.5528361	111.9516
56	-126878	-127819.7	941.7525	1	0	0	1.355371	0.552851	62.98614
57	-126859	-127800.8	941.753	1	0	0	1.334277	0.544247	192.4884
58	-126836.7	-127778.5	941.7518	1	0	0	1.545432	0.5602769	61.05408
59	-126831	-127772.7	941.7492	1	0	0	1.482664	0.5639717	114.6039
60	-126882.6	-127824.4	941.7533	1	0	0	1.464958	0.5572367	220.3426
61	-126892.6	-127834.4	941.7515	1	0	0	1.601214	0.5698329	107.4881
62	-126857.6	-127799.3	941.7501	1	0	0	1.622398	0.5773717	148.164
63	-126834.1	-127775.8	941.7509	1	0	0	1.611225	0.5733955	154.7083
64	-126843.9	-127785.7	941.7489	1	0	0	1.317953	0.5560266	74.35979
65	-126861.4	-127803.1	941.7514	1	0	0	1.35908	0.5329968	68.95804
66	-126868.6	-127810.4	941.7522	1	0	0	1.348616	0.5288929	80.28625
67	-126847.4	-127789.2	941.7501	1	0	0	1.281112	0.5480731	65.68017
68	-126840.5	-127782.3	941.7489	1	0	0	1.275523	0.5456818	50.5858
69	-126813.3	-127755	941.7512	1	0	0	1.480692	0.534669	139.4507
70	-126816.5	-127758.2	941.7513	1	0	0	1.490653	0.5382658	65.78642
71	-126820.2	-127762	941.7516	1	0	0	1.478919	0.5340287	89.87887
72	-126848	-127789.7	941.7514	1	0	0	1.492872	0.5390671	162.9168
73	-126868.5	-127810.3	941.7504	1	0	0	1.717219	0.5337444	193.7679
74	-126847.3	-127789.1	941.7537	1	0	0	1.43419	0.5323323	63.42541
75	-126866.3	-127808	941.7497	1	0	0	1.48881	0.5352115	73.73171
76	-126869.5	-127811.2	941.7504	1	0	0	1.490062	0.5356617	83.28407
77	-126871.8	-127813.6	941.7528	1	0	0	1.495976	0.5377877	100.3891
