Iteration	Posterior	Likelihood	Prior	b_long	b_med	b_short	height_bg	height_mol	root_age
0	-182325.3	-183188.4	863.0792	0.3333333	0.3333333	0.3333333	47.95501	1.15	120
1	-168456.3	-169405.3	949.0247	0.01386746	0.06854102	0.9175915	1.631248	0.5964556	112.7405
2	-159321.1	-160270.3	949.2414	0.005293295	0.08376963	0.9109371	2.293472	0.9244044	92.64653
3	-147179.9	-148126.5	946.6299	0.006803447	0.04749636	0.9457002	1.454503	0.7909023	78.5602
4	-140260.2	-141209.4	949.1905	0.008391033	0.1009125	0.8906964	1.431941	0.7252315	101.4026
5	-136194.5	-137142.9	948.4697	0.002386967	0.06705762	0.9305554	1.424602	0.7677577	81.94626
6	-135031.6	-135981.2	949.5664	0.001938485	0.06000555	0.938056	1.460623	0.7893157	99.84447
7	-134061.4	-135008.5	947.121	0.02314768	0.1233142	0.8535382	1.432557	0.7865795	128.2287
8	-132574.5	-133523	948.4402	0.01161523	0.05010797	0.9382768	1.525938	0.7298181	114.9586
9	-131799.1	-132747.2	948.0886	0.01801964	0.07679645	0.9051839	1.613624	0.7900213	96.84913
10	-130475.6	-131424.9	949.3245	0.009679846	0.06604839	0.9242718	1.593655	0.7438857	109.3316
11	-129995.2	-130945.3	950.0321	0.004890429	0.09012676	0.9049828	1.725359	0.8053625	130.7374
12	-129532.9	-130482.3	949.3225	0.01012764	0.08536631	0.904506	1.236771	0.789094	104.2371
13	-128722.2	-129671.9	949.6964	0.007240559	0.09820607	0.8945534	1.66671	0.7629212	129.0928
14	-128178.2	-129128.4	950.2295	0.004657366	0.08493518	0.9104075	1.714447	0.7847722	119.5091
15	-127464.1	-128411.9	947.7941	0.007540482	0.09540481	0.8970547	1.883588	0.8621951	79.80476
16	-127360	-128307.5	947.5692	0.02157032	0.1072451	0.8711845	1.417382	0.8710878	102.134
17	-127227.5	-128175.2	947.6811	0.01443575	0.1141846	0.8713797	1.410155	0.8666467	93.5628
18	-127149.8	-128097.9	948.1612	0.01465183	0.119477	0.8658712	1.446093	0.8389488	131.7154
19	-127055.5	-128001.5	946.0138	0.01110147	0.1155739	0.8733247	1.400551	0.8125278	72.09624
20	-126930	-127878.6	948.6172	0.003790526	0.04480407	0.9514054	1.57634	0.821836	106.8968
21	-126894	-127841.7	947.6365	0.02052903	0.1015451	0.8779259	1.387531	0.817859	98.0863
22	-126866.8	-127817.2	950.4522	0.0007671468	0.06755258	0.9316803	1.491652	0.7871625	120.366
23	-126824.7	-127774.9	950.1697	0.00501864	0.07801492	0.9169664	1.458425	0.8134238	118.9025
24	-126767.6	-127716.5	948.9294	0.01098869	0.1132742	0.8757371	1.48527	0.7808881	114.0689
25	-126713	-127663.3	950.2721	0.0004942906	0.1002651	0.8992407	1.498207	0.7876899	133.3707
26	-126639.1	-127588.4	949.2464	0.0004599022	0.1347227	0.8648174	1.561331	0.8015297	114.1963
27	-126656.2	-127604.9	948.7644	0.01566915	0.09789293	0.8864379	1.523572	0.7821456	111.219
28	-126653.5	-127602.7	949.1733	0.01095538	0.1047987	0.8842459	1.541575	0.7950016	113.5524
29	-126633.8	-127583.2	949.4539	0.01169772	0.08113512	0.9071672	1.523422	0.7856402	121.4285
30	-126588.5	-127537.5	949.003	0.01387097	0.1004878	0.8856412	1.519734	0.7644942	120.6928
31	-126565.1	-127512.6	947.4459	0.0005236017	0.08334824	0.9161282	1.66819	0.7756138	69.20527
32	-126592.4	-127542.5	950.0828	0.0006544069	0.114721	0.8846245	1.423336	0.7717797	118.4754
33	-126572.2	-127520.2	948.0923	0.003468819	0.1327516	0.8637796	1.396507	0.7483482	92.51439
34	-126473.7	-127423.9	950.192	0.003452689	0.07344001	0.9231073	1.364331	0.7311063	111.4151
35	-126483.2	-127430.9	947.6872	0.01691305	0.115112	0.8679749	1.369825	0.7227964	99.12037
36	-126492.8	-127439.5	946.7063	0.02923023	0.06549533	0.9052744	1.643938	0.7263036	97.80051
37	-126487.8	-127434	946.14	0.009846327	0.1348253	0.8553284	1.367059	0.7266018	79.39962
38	-126478	-127427.2	949.2038	0.00566768	0.1056239	0.8887084	1.504458	0.7098901	98.27542
39	-126479.9	-127428.7	948.8374	0.01011182	0.05726226	0.9326259	1.512987	0.7139149	106.7092
40	-126449.6	-127399.1	949.5016	0.002339943	0.08369499	0.9139651	1.634411	0.7134697	92.13385
41	-126415.7	-127363.4	947.6995	0.01120461	0.1066116	0.8821838	1.465624	0.7079435	85.97629
42	-126425.1	-127373.5	948.4575	0.01593677	0.07840698	0.9056563	1.453169	0.7019277	99.55466
43	-126426.8	-127374.4	947.616	0.0229186	0.1121291	0.8649523	1.574251	0.6971816	114.8919
44	-126370.9	-127320.7	949.8107	0.0052336	0.09013355	0.9046329	1.628711	0.7075462	104.2493
45	-126358	-127308.4	950.35	0.003049666	0.08772251	0.9092278	1.661838	0.7219372	124.7684
46	-126344.1	-127294.3	950.1719	0.003927236	0.07252257	0.9235502	1.632367	0.7091341	125.8122
47	-126354.7	-127303.6	948.9457	0.007184247	0.1234526	0.8693632	1.480643	0.7067643	112.5129
48	-126379.2	-127329.5	950.3308	0.00280717	0.07256389	0.9246289	1.575127	0.7057615	118.0652
49	-126369.3	-127318.5	949.1838	0.009809731	0.1094695	0.8807207	1.598368	0.7161748	114.5155
50	-126386.6	-127333.1	946.5521	0.01954501	0.03935138	0.9411036	1.346221	0.7046479	115.3631
51	-126395.4	-127345.5	950.0232	0.002904625	0.07716062	0.9199348	1.493066	0.7066931	102.9536
52	-126386.2	-127335.2	949.0693	0.005465866	0.1206379	0.8738962	1.579857	0.6783729	134.3336
53	-126359.9	-127307.3	947.4326	0.01617742	0.07113267	0.9126899	1.489906	0.6901554	86.07941
54	-126406	-127354.3	948.2551	0.01013652	0.04645517	0.9434083	1.368515	0.6753104	113.0426
55	-126422.7	-127369.8	947.124	0.02417521	0.09477801	0.8810468	1.642631	0.6726168	94.14057
56	-126393.7	-127342.1	948.3661	0.01041186	0.06626381	0.9233243	1.488111	0.6759626	91.52701
57	-126397.1	-127343.8	946.7722	0.002836147	0.04074359	0.9564203	1.477013	0.6709213	82.94383
58	-126404.7	-127354.2	949.4956	0.001014469	0.1216864	0.8772992	1.568159	0.6668442	104.6808
59	-126385.3	-127334.6	949.3327	0.007829808	0.06499213	0.9271781	1.554251	0.6609296	104.8492
60	-126373.1	-127322.5	949.4593	0.00315581	0.0992137	0.8976305	1.309188	0.6628531	95.3469
61	-126403.8	-127352.9	949.1026	0.006299047	0.1161249	0.877576	1.350661	0.6838516	104.6806
62	-126386.2	-127334	947.7671	0.004678151	0.04640537	0.9489165	1.58497	0.6708462	90.17721
63	-126371.1	-127319.8	948.7154	0.001101391	0.1346337	0.8642649	1.527525	0.6753477	100.0168
64	-126344.8	-127292.6	947.8828	0.01450047	0.083162	0.9023375	1.49162	0.6594735	88.22038
65	-126357.6	-127307.2	949.6103	0.0005877212	0.100892	0.8985203	1.300009	0.6674379	93.86033
66	-126403.4	-127353.3	949.8167	0.002811901	0.08263992	0.9145482	1.403993	0.6604836	98.0426
67	-126386.9	-127335.1	948.2286	0.004243742	0.04707916	0.9486771	1.366875	0.6430222	95.40188
68	-126361.8	-127311.9	950.1166	0.0002235562	0.09464151	0.9051349	1.372683	0.6457542	139.9928
69	-126358.6	-127308.7	950.1119	0.002254278	0.0955454	0.9022003	1.542896	0.6587204	105.3561
70	-126385.1	-127333.1	947.9397	0.02200994	0.06993211	0.908058	1.456214	0.6576822	105.2135
71	-126328.6	-127277.4	948.7793	0.013896	0.09734119	0.8887628	1.459875	0.6593356	104.9359
72	-126341.6	-127290.8	949.218	0.001917745	0.07422998	0.9238523	1.467275	0.662678	88.53
73	-126349.1	-127298.7	949.5792	0.003201016	0.1205347	0.8762643	1.41156	0.6375147	118.7472
74	-126313.7	-127261	947.273	0.01673483	0.08430109	0.8989641	1.216118	0.6192636	83.95014
75	-126316.4	-127265.1	948.6821	0.003028303	0.08998052	0.9069912	1.513912	0.6346535	83.32209
76	-126345.1	-127294.4	949.2613	0.008696168	0.08074393	0.9105599	1.381606	0.6298626	99.68827
77	-126338.3	-127287.4	949.0969	0.01488548	0.08472824	0.9003863	1.379032	0.6286889	119.7673
78	-126335.5	-127284.6	949.0923	0.000468608	0.1368433	0.8626881	1.454237	0.6401581	111.7083
79	-126317.5	-127265.4	947.8606	0.01098439	0.05272058	0.936295	1.441811	0.6396235	94.11061
80	-126346.1	-127296.7	950.5812	0.0003999519	0.07960929	0.9199908	1.574545	0.6369727	111.7444
81	-126347.8	-127295.6	947.8374	0.0140543	0.04625655	0.9396892	1.416106	0.6369727	114.1192
82	-126330	-127279.4	949.4076	0.001235907	0.06903766	0.9297264	1.426529	0.6416611	91.42748
83	-126331.2	-127280.9	949.701	0.003040361	0.1070746	0.8898851	1.39441	0.6272136	103.4616
84	-126388.6	-127337	948.3747	0.01850673	0.08335547	0.8981378	1.437124	0.6272556	136.2632
