Iteration	Posterior	Likelihood	Prior	b_long	b_med	b_short	height_bg	height_mol	root_age
0	-152826.5	-153688.7	862.2153	0.3333333	0.3333333	0.3333333	420.8459	1.15	120
1	-142975.4	-143924.4	948.9386	0.001870121	0.1193873	0.8787425	12.44779	0.2858378	94.27783
2	-138846.5	-139793.4	946.9346	0.005489511	0.03729537	0.9572151	1.340063	0.3024799	136.3137
3	-135095.7	-136044.9	949.2715	0.00564301	0.08456767	0.9097893	1.302223	0.2861578	58.0649
4	-132802.8	-133752.2	949.3791	0.0004049204	0.1111083	0.8884868	1.694146	0.2793549	72.99093
5	-132083.6	-133032.4	948.8155	0.00301651	0.05464681	0.9423367	1.511158	0.2838737	58.29736
6	-130871	-131820.6	949.6043	0.002143682	0.09111424	0.9067421	1.662649	0.3123316	75.02618
7	-129437	-130383.8	946.7795	0.001531638	0.03362262	0.9648457	1.795536	0.3372947	62.4785
8	-128778.7	-129727.8	949.1311	0.004521088	0.103185	0.8922939	1.720773	0.3631562	70.71936
9	-128418.1	-129362.7	944.6116	0.0298586	0.03918751	0.9309539	1.610409	0.3784749	58.67331
10	-128137.4	-129086.7	949.2944	0.003795163	0.06861563	0.9275892	1.54489	0.4202448	69.2491
11	-127873.4	-128822.8	949.424	0.004060173	0.08035605	0.9155838	1.562529	0.4250428	55.96498
12	-127738.1	-128687.5	949.3334	0.004676456	0.0767744	0.9185491	1.460672	0.4657421	57.83839
13	-127691.7	-128639.5	947.7853	0.009453772	0.1262073	0.864339	1.573708	0.4613865	41.92747
14	-127538.2	-128487.7	949.4489	0.0005409791	0.1076583	0.8918008	1.55141	0.4771455	94.54209
15	-127396.9	-128346.1	949.126	0.00588631	0.0714112	0.9227025	1.584769	0.487405	98.05653
16	-127400.1	-128348	947.8709	0.01742914	0.09386718	0.8887037	1.351247	0.5010488	53.34855
17	-127373.6	-128317.9	944.3888	0.03862265	0.04611006	0.9152673	1.518907	0.5031744	62.95347
18	-127340	-128289.2	949.1962	0.003659351	0.06487901	0.9314616	1.415262	0.4978092	90.14726
19	-127288	-128236.5	948.4934	0.01221118	0.074695	0.9130938	1.597657	0.5151325	85.38818
20	-127263	-128211.9	948.8893	0.005685107	0.1071295	0.8871854	1.685566	0.515989	49.75008
21	-127179.5	-128127.3	947.8664	0.01697495	0.06840815	0.9146169	1.635141	0.48669	51.96511
22	-127161.3	-128110.2	948.9149	0.008672836	0.07937969	0.9119475	1.641561	0.4886007	127.1953
23	-127101.5	-128047.5	946.0177	0.03062604	0.1085764	0.8607976	1.518244	0.4637148	42.58925
24	-127061.9	-128009.5	947.5361	0.01968773	0.06710656	0.9132057	1.577113	0.4683282	58.77976
25	-127048.7	-127997	948.3091	0.01361297	0.09245579	0.8939312	1.564007	0.4644366	45.45477
26	-127035	-127982.7	947.6664	0.01798284	0.06518408	0.9168331	1.465806	0.4707762	64.44018
27	-127006.6	-127955.7	949.1569	0.00446284	0.06651013	0.929027	1.601226	0.4730254	81.74285
28	-126983.5	-127932.8	949.3176	0.004781007	0.08882058	0.9063984	1.722157	0.4728783	81.25425
29	-126985.3	-127934.1	948.8296	0.009489719	0.08205162	0.9084587	1.583231	0.459685	93.46119
30	-126944.1	-127893.3	949.1914	0.004722272	0.09852891	0.8967488	1.584601	0.4600827	56.98284
31	-126960.5	-127909.2	948.7653	0.001271156	0.051365	0.9473638	1.574915	0.4572706	94.47805
32	-126982.6	-127932.2	949.5672	0.00174934	0.0956177	0.902633	1.692822	0.4565383	86.03073
33	-126972.3	-127921.9	949.6726	0.000944242	0.09439736	0.9046584	1.797536	0.4553219	94.5779
34	-126916	-127864.4	948.3779	0.004213293	0.1261	0.8696868	1.56878	0.4566912	73.20031
35	-126902.2	-127851.8	949.5726	0.002606154	0.0814259	0.9159679	1.57277	0.4578525	53.40237
36	-126893.1	-127842.3	949.184	0.006156461	0.0800286	0.9138149	1.689707	0.4553641	83.50768
