Iteration	Posterior	Likelihood	Prior	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	rf_simplex[19]	rf_simplex[20]	rf_simplex[21]	rf_simplex[22]	rf_simplex[23]	rf_simplex[24]	rf_simplex[25]	rf_simplex[26]	rf_simplex[27]	w_graph[1]	w_graph[2]	w_graph[3]	y
0	-844.6893	-847.2795	2.590267	0.0122623	0.344887	0.137997	0.057532	0.0168603	0.0243359	0.0293246	0.0255135	0.0235723	0.0165667	0.082357	0.0829527	0.0448701	0.0125395	0.00631508	0.0310215	0.00547174	0.00618116	0.00161797	0.0174622	0.00822507	0.00442972	0.00133611	0.00118942	0.00283984	0.00116722	0.00117164	0.0526316	0.105263	0.842105	0.1
50	-788.0849	-790.8323	2.747413	0.0151277	0.330955	0.206299	0.134076	0.0195332	0.0389317	0.0444521	0.024671	0.0203391	0.00407577	0.0629118	0.0394956	0.0276208	0.00413147	0.00483626	0.0164537	0.00138968	0.00320525	3.14258e-05	0.000753807	0.00028758	0.000191596	3.14013e-05	4.06066e-05	0.00010233	2.54729e-05	3.04072e-05	0.0288962	0.0115765	0.959527	0.6257827
100	-783.3781	-785.6643	2.286203	0.0155423	0.488322	0.201212	0.0964987	0.0167658	0.0232879	0.0252841	0.0191899	0.0178763	0.00327276	0.0392673	0.0250617	0.0136868	0.00250555	0.00165356	0.006619	0.000775831	0.00147233	4.75368e-05	0.000912318	0.000352792	0.000185077	4.06081e-05	3.16101e-05	8.38483e-05	2.24658e-05	2.98315e-05	0.0443524	0.0257749	0.929873	0.3465329
150	-786.5784	-789.0116	2.433274	0.0200256	0.460523	0.161437	0.107751	0.0212078	0.0291885	0.0319682	0.0236963	0.0219342	0.00381813	0.0590103	0.0227665	0.0149971	0.00337122	0.00311168	0.00678078	0.00139974	0.00268378	0.000122953	0.00255627	0.000638651	0.000422506	0.000114886	0.000109841	0.000184707	7.68924e-05	0.000101925	0.0741544	0.0543716	0.871474	0.6064681
200	-783.7543	-786.0349	2.280581	0.0189961	0.556151	0.212748	0.0605371	0.0198661	0.0221772	0.0220279	0.0212344	0.0209835	0.00251367	0.0145311	0.0151874	0.00566641	0.0017166	0.00064825	0.0034078	0.000398999	0.000643829	2.20339e-05	0.000278815	0.000138147	4.90443e-05	1.70028e-05	1.10544e-05	2.91847e-05	9.03557e-06	1.10039e-05	0.0562258	0.00138162	0.942393	0.1569572
250	-782.0395	-784.4243	2.384802	0.0152962	0.511879	0.217381	0.0911269	0.0161426	0.0217253	0.0220688	0.0178881	0.0170429	0.00232811	0.02748	0.019649	0.00984101	0.00180025	0.0010531	0.00497074	0.000503522	0.000960195	2.23262e-05	0.000468472	0.000184648	8.7195e-05	1.89885e-05	1.49932e-05	4.17573e-05	1.09642e-05	1.42813e-05	0.0404525	0.0038824	0.955665	0.2990839
300	-781.6955	-784.0826	2.387098	0.0174106	0.466932	0.228796	0.103004	0.0185249	0.0257123	0.0271303	0.0208518	0.0195047	0.0026442	0.0258959	0.0204562	0.0111153	0.0020415	0.00126037	0.00595583	0.000611834	0.00113026	3.06126e-05	0.000495725	0.000236627	0.000120405	2.62063e-05	1.97714e-05	6.00574e-05	1.42083e-05	1.86872e-05	0.039519	0.01497	0.945511	0.3064458
350	-784.0105	-786.3468	2.336298	0.0146457	0.528125	0.177211	0.0905844	0.0157307	0.0213467	0.0226711	0.0177126	0.0166695	0.00302879	0.0448898	0.0222439	0.012207	0.00230215	0.00161268	0.00518225	0.000690337	0.00143164	4.37423e-05	0.00102659	0.000299643	0.000160834	3.72468e-05	3.05461e-05	6.61639e-05	2.12335e-05	2.88385e-05	0.0525842	0.0210575	0.926358	0.4058881
400	-785.9905	-788.281	2.290522	0.0145577	0.461839	0.193749	0.128879	0.0161041	0.0285249	0.0325367	0.0182099	0.0164072	0.00182622	0.0437294	0.0184733	0.0121031	0.00173464	0.00188481	0.00547913	0.000716192	0.00139542	3.38055e-05	0.00111397	0.00030211	0.000195522	3.26838e-05	3.65646e-05	7.98756e-05	2.46972e-05	3.053e-05	0.0410058	0.0509571	0.908037	0.6415686
450	-782.416	-784.8785	2.462523	0.0230351	0.483952	0.213077	0.0963148	0.024021	0.0292925	0.0302846	0.0258119	0.0249088	0.00246226	0.0175762	0.0132413	0.00699513	0.00178874	0.00101909	0.00371734	0.000527707	0.000960306	3.74024e-05	0.000519068	0.000200403	0.000102709	3.04506e-05	2.54519e-05	5.3489e-05	2.00658e-05	2.46588e-05	0.060073	0.0171974	0.92273	0.2972331
500	-782.7161	-785.2405	2.524349	0.0250803	0.440354	0.195062	0.117933	0.0265079	0.0359725	0.037068	0.0286781	0.0272345	0.00279818	0.0268932	0.0146005	0.00930493	0.00228107	0.00186781	0.00465333	0.000758645	0.00162324	4.73072e-05	0.000698866	0.000228188	0.000141612	4.20933e-05	3.85351e-05	6.924e-05	2.6584e-05	3.5839e-05	0.068913	0.00892986	0.922157	0.5126502
550	-784.8088	-787.3016	2.492816	0.0126456	0.437618	0.22519	0.123689	0.0143176	0.0257583	0.0314869	0.0177621	0.0149751	0.00229926	0.0369852	0.0253043	0.0157466	0.00189476	0.00163428	0.00784978	0.000657594	0.00122414	5.78998e-05	0.0015669	0.000618746	0.000371408	5.12703e-05	5.08857e-05	0.000165445	3.5102e-05	4.3261e-05	0.0271475	0.0502441	0.922608	0.4154554
600	-789.8948	-791.9309	2.036061	0.00918119	0.512163	0.195876	0.111962	0.0100939	0.0191497	0.0218621	0.0118148	0.0104673	0.00147213	0.0498756	0.0218542	0.0130163	0.00133391	0.00128954	0.00543757	0.00049895	0.000948189	2.08136e-05	0.0011014	0.000280379	0.000163495	1.9488e-05	2.21381e-05	6.16288e-05	1.56477e-05	1.83331e-05	0.0274386	0.040538	0.932023	0.5004086
650	-784.9959	-787.3997	2.403823	0.0182712	0.46089	0.167601	0.109962	0.0195265	0.0286364	0.0302664	0.0218654	0.0202019	0.00347834	0.0601031	0.0235556	0.0151127	0.00311294	0.00297581	0.00680604	0.00118265	0.00247817	0.000101048	0.00240412	0.000591905	0.000374177	9.48096e-05	9.48552e-05	0.000162692	6.46499e-05	8.59686e-05	0.0645355	0.0179206	0.917544	0.6241132
700	-780.9789	-783.4422	2.46332	0.0201702	0.480883	0.209954	0.102316	0.0211984	0.0279063	0.0287143	0.023156	0.02207	0.0025425	0.024916	0.0162321	0.00902626	0.00197572	0.00128963	0.00459536	0.000611612	0.00117074	4.13398e-05	0.000661359	0.000255509	0.000136073	3.55862e-05	2.83756e-05	6.63649e-05	2.04348e-05	2.70041e-05	0.0532294	0.0119644	0.934806	0.3559345
750	-784.1784	-786.9473	2.768916	0.0229627	0.400202	0.214342	0.134642	0.0250191	0.0378448	0.0438456	0.0284646	0.0255664	0.00243183	0.0243415	0.0154115	0.0104806	0.00205625	0.00183822	0.00552738	0.000780988	0.00148719	8.77973e-05	0.00133785	0.000529565	0.000353763	7.97302e-05	7.61451e-05	0.000170545	5.27847e-05	6.7982e-05	0.0491315	0.0618076	0.889061	0.5092423
800	-781.3164	-784.0471	2.730714	0.0228451	0.42545	0.211494	0.10936	0.0245587	0.0333184	0.0340613	0.0274329	0.0258686	0.00395524	0.0299572	0.021881	0.0129452	0.00303041	0.00207261	0.00702307	0.000907556	0.00185794	7.42278e-05	0.000954592	0.000403734	0.000226534	6.33314e-05	5.30403e-05	0.000117941	3.76452e-05	5.01032e-05	0.0546436	0.0025219	0.942834	0.3792414
850	-782.3403	-784.9667	2.626358	0.0212311	0.423888	0.198096	0.0996959	0.0232154	0.0311357	0.032205	0.026741	0.0250728	0.00553547	0.0421986	0.0301887	0.0174713	0.00423671	0.00280451	0.00958581	0.00130634	0.00256324	0.000108102	0.00136386	0.000579126	0.000318439	9.23267e-05	7.42917e-05	0.000167525	5.3526e-05	7.09498e-05	0.0565465	0.00693301	0.936521	0.356829
900	-787.0468	-789.5693	2.522508	0.0161333	0.444976	0.181372	0.127537	0.0178265	0.0300546	0.0354888	0.0202711	0.0181611	0.00249262	0.0527978	0.0218223	0.0148835	0.00234764	0.00265472	0.00653891	0.000958923	0.00196594	3.53987e-05	0.00101983	0.000271588	0.000184936	3.40623e-05	3.85377e-05	7.43083e-05	2.63333e-05	3.23714e-05	0.0488073	0.0693679	0.881825	0.7048895
950	-786.0562	-788.8425	2.786242	0.02805	0.377893	0.173789	0.122482	0.0301001	0.0419093	0.0445085	0.0333036	0.0308429	0.00478469	0.0485649	0.0228709	0.0159084	0.00437594	0.00435923	0.00849826	0.00172758	0.00367261	8.66017e-05	0.00121798	0.000366233	0.000251344	8.22001e-05	8.5647e-05	0.000130481	6.10849e-05	7.77601e-05	0.0825711	0.0169902	0.900439	0.6913865
1000	-782.5266	-785.1471	2.620454	0.0210324	0.443252	0.211054	0.127892	0.0226342	0.034417	0.0360684	0.0247244	0.0231178	0.00190894	0.0229541	0.0129346	0.00829463	0.0015952	0.00141736	0.00402864	0.000509892	0.0011442	2.82122e-05	0.000557485	0.000178366	0.00011097	2.51852e-05	2.6447e-05	5.13126e-05	1.8696e-05	2.33615e-05	0.0510805	0.0115152	0.937404	0.5322203
1050	-783.0093	-785.5226	2.513272	0.0200924	0.429249	0.233912	0.105981	0.0216413	0.0294942	0.0316344	0.024722	0.0229737	0.0035992	0.0252028	0.023481	0.0131468	0.00267257	0.00158302	0.00756622	0.000796363	0.00144122	2.81049e-05	0.000367449	0.000188155	9.87995e-05	2.3317e-05	1.87787e-05	5.35778e-05	1.42079e-05	1.78553e-05	0.0411146	0.017651	0.941234	0.2836275
1100	-784.0846	-786.623	2.538423	0.0195503	0.422631	0.198676	0.109437	0.0213528	0.0310098	0.0323305	0.0245785	0.0226884	0.00450192	0.0464041	0.028692	0.0175147	0.0036643	0.00283688	0.00918385	0.00118702	0.00244996	3.87014e-05	0.000703914	0.000234923	0.000138039	3.38941e-05	3.43542e-05	6.91798e-05	2.58831e-05	3.15545e-05	0.0510546	0.00621433	0.942731	0.437374
1150	-780.7148	-783.3104	2.595597	0.0209139	0.419744	0.225077	0.120859	0.0226456	0.0335868	0.034779	0.0254358	0.0235657	0.00287671	0.0260571	0.019024	0.0116774	0.00228299	0.00171834	0.00628228	0.000690698	0.00145499	4.30436e-05	0.000642398	0.00027867	0.000161026	3.75322e-05	3.2647e-05	8.09465e-05	2.1996e-05	2.98695e-05	0.044244	0.00533176	0.950424	0.4113031
