Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	br_base	br_CW	br_TW	br_WC	br_WT	dr_base	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	rf_simplex[19]	rf_simplex[20]	rf_simplex[21]	rf_simplex[22]	rf_simplex[23]	rf_simplex[24]	rf_simplex[25]	rf_simplex[26]	rf_simplex[27]	w_adj[1]	w_adj[2]	w_adj[3]	w_B	w_G	w_graph[1]	w_graph[2]	w_graph[3]	w_not_B	w_U	y
0	-844.6893	-847.2795	2.590267	1	1	1	1	0.75	1	1	1	1	0.25	0.03	0.0122623	0.344887	0.137997	0.057532	0.0168603	0.0243359	0.0293246	0.0255135	0.0235723	0.0165667	0.082357	0.0829527	0.0448701	0.0125395	0.00631508	0.0310215	0.00547174	0.00618116	0.00161797	0.0174622	0.00822507	0.00442972	0.00133611	0.00118942	0.00283984	0.00116722	0.00117164	0	0.1	1	0.8421053	0.1052632	0.0526316	0.105263	0.842105	0.1578947	0.05263158	0.1
50	-783.5021	-785.9982	2.496094	0.162301	0.75324	0.191408	0.450057	0.8212679	0.450057	0.1623009	0.1914078	0.7532404	0.1787321	0.03296252	0.0135924	0.478166	0.207695	0.106132	0.0148165	0.023505	0.0244625	0.0170492	0.0156758	0.00267688	0.0428793	0.0253721	0.0144471	0.00217668	0.00167867	0.00684514	0.000650283	0.0013841	1.70258e-05	0.000456146	0.000152343	8.23181e-05	1.49702e-05	1.39725e-05	3.62728e-05	9.48766e-06	1.25657e-05	0	0.415264	1	0.9604892	0.003180346	0.0363305	0.00318035	0.960489	0.03951081	0.03633047	0.4152641
100	-782.1697	-784.7958	2.626162	0.175196	0.919028	0.322044	0.560125	0.7796456	0.5601252	0.1751964	0.3220438	0.9190275	0.2203544	0.02894225	0.0194083	0.395077	0.209941	0.126293	0.0217291	0.0351019	0.0380038	0.0252415	0.0226606	0.00358717	0.0406731	0.0255798	0.016764	0.00306845	0.00278342	0.00891525	0.00101477	0.00220007	5.44972e-05	0.0010087	0.000367774	0.000231262	4.94003e-05	5.16269e-05	0.000113886	3.53329e-05	4.49676e-05	0	0.511954	1	0.9415998	0.01513315	0.0432671	0.0151332	0.9416	0.05840023	0.04326708	0.5119545
150	-790.2167	-792.886	2.669314	0.387159	0.737245	0.246394	0.419615	0.7413179	0.419615	0.3871588	0.2463941	0.7372455	0.2586821	0.02771989	0.0149119	0.384595	0.20055	0.0925295	0.0171348	0.025713	0.0294534	0.0223837	0.0198104	0.00726949	0.0626523	0.0540776	0.0315916	0.00583729	0.00371593	0.0194086	0.00204092	0.00336308	9.08895e-05	0.00134959	0.000682326	0.000371351	7.92799e-05	6.56064e-05	0.00020918	5.10087e-05	6.2082e-05	0	0.274449	1	0.9350062	0.02932493	0.0356688	0.0293249	0.935006	0.06499376	0.03566883	0.2744494
200	-786.3283	-788.5107	2.182347	0.110588	0.842666	0.205626	0.0658707	0.8113303	0.06587074	0.1105883	0.2056255	0.8426665	0.1886697	0.04511062	0.0162891	0.516217	0.232161	0.0845292	0.0170799	0.0208082	0.0241357	0.0189942	0.0179347	0.00210434	0.0171492	0.0164859	0.00761683	0.0014871	0.000700485	0.00413936	0.000439127	0.000665561	3.46739e-05	0.0004812	0.000283383	0.000124859	2.80094e-05	1.72487e-05	6.34394e-05	1.39127e-05	1.67806e-05	0	0.192538	1	0.9145519	0.04619799	0.0392501	0.046198	0.914552	0.08544807	0.03925008	0.1925376
250	-783.0548	-785.6861	2.631282	0.199284	0.913882	0.257978	0.0416346	0.7782395	0.04163465	0.1992842	0.2579778	0.9138825	0.2217605	0.02879445	0.0179656	0.40002	0.210392	0.121783	0.02021	0.0329918	0.0352126	0.0237305	0.0212924	0.00384866	0.0444593	0.0287912	0.018411	0.0032381	0.00283736	0.00976947	0.00101967	0.00225395	5.08314e-05	0.000889487	0.000360315	0.000216743	4.60031e-05	4.17976e-05	0.000104759	2.59349e-05	3.69364e-05	0	0.483309	1	0.9534288	0.005998321	0.0405729	0.00599832	0.953429	0.04657117	0.04057285	0.4833091
300	-788.1888	-790.8812	2.692395	0.142588	0.989432	0.395962	0.338116	0.7633881	0.3381164	0.1425879	0.395962	0.9894324	0.2366119	0.02708743	0.0162379	0.484616	0.258857	0.0826452	0.0172844	0.0213421	0.0240697	0.0195034	0.0183829	0.00256107	0.0147132	0.0205525	0.00907126	0.00171096	0.000699228	0.00547605	0.000426751	0.000672135	4.06439e-05	0.000470205	0.000356006	0.00014414	3.12798e-05	1.92672e-05	8.23738e-05	1.56311e-05	1.88471e-05	0	0.159626	1	0.9460493	0.02185228	0.0320984	0.0218523	0.946049	0.05395069	0.03209841	0.159626
350	-786.3671	-788.5524	2.185301	0.145408	0.793331	0.324948	0.312258	0.8159304	0.312258	0.1454076	0.3249483	0.7933305	0.1840696	0.04497757	0.0158174	0.501728	0.218646	0.0894895	0.0168016	0.0216835	0.0245204	0.0190429	0.0178643	0.00274142	0.0267781	0.0215906	0.010779	0.00203188	0.00110202	0.00562773	0.000625898	0.00102428	6.11737e-05	0.00106016	0.000485035	0.000232706	5.07299e-05	3.71782e-05	0.000113827	2.91733e-05	3.57868e-05	0	0.246383	1	0.9186206	0.04063559	0.0407438	0.0406356	0.918621	0.08137936	0.04074377	0.2463828
400	-785.2302	-787.8053	2.575047	0.104163	0.943654	0.132457	0.384537	0.8168659	0.3845367	0.1041627	0.1324567	0.9436541	0.1831341	0.03046009	0.0229691	0.479065	0.213973	0.0963754	0.0239918	0.0286841	0.0321356	0.0261648	0.0249322	0.00265234	0.0178555	0.0141478	0.00754385	0.00189889	0.00104887	0.00408416	0.000633319	0.000995539	3.31255e-05	0.000407871	0.000179148	9.41631e-05	2.69025e-05	2.06527e-05	4.89468e-05	1.6891e-05	2.00878e-05	0	0.25389	1	0.8848412	0.05661183	0.058547	0.0566118	0.884841	0.1151588	0.05854696	0.2538903
450	-784.7366	-787.2177	2.481132	0.143605	0.995061	0.282134	0.549455	0.8174138	0.549455	0.1436052	0.2821344	0.9950606	0.1825862	0.03345938	0.0212679	0.453744	0.20183	0.109688	0.0225963	0.0295314	0.0348675	0.0254913	0.0235554	0.00321781	0.0287942	0.0186998	0.0113677	0.00245278	0.00169252	0.00572537	0.000921487	0.00152435	9.95891e-05	0.00156229	0.000567145	0.000344753	8.41548e-05	7.62839e-05	0.000164266	6.18116e-05	7.22041e-05	0	0.355883	1	0.862688	0.08130337	0.0560087	0.0813034	0.862688	0.137312	0.05600867	0.3558831
