Iteration	Posterior	Likelihood	Prior	age_Argia	age_Ischnura	age_Nehalennia	extinction_rate	height_mol	root_age	speciation_rate
0	-10004.58	0	-10004.58	112.0929	112.9386	96.55625	0	70.13697	114.665	0.005892572
1	-9450.33	0	-9450.33	112.7289	112.9386	84.96182	0	40.34764	115.6519	0.01434129
2	-9225.679	0	-9225.679	114.2416	112.8977	87.55032	0	27.2721	133.3242	0.029628
3	-9206.008	0	-9206.008	113.5136	113.8621	75.76036	0	33.25187	137.9817	0.03086696
4	-9205.377	0	-9205.377	118.6625	114.305	72.49904	0	82.34146	140.0619	0.02998622
5	-9191.816	0	-9191.816	120.8971	112.1931	86.57498	0	51.54607	140.2966	0.03201946
6	-9193.691	0	-9193.691	124.0959	112.1931	82.44989	0	33.03983	133.0884	0.03201946
7	-9177.706	0	-9177.706	126.3717	112.1931	81.04875	0	32.43383	133.8825	0.03201946
8	-9183.066	0	-9183.066	123.0349	112.1931	79.65378	0	48.48195	140.4202	0.03201946
9	-9179.976	0	-9179.976	130.2293	106.0913	84.40976	0	85.91065	159.9865	0.03211035
10	-9180.531	0	-9180.531	130.2293	110.3344	84.40976	0	107.5529	148.1934	0.03260942
11	-9175.247	0	-9175.247	130.2293	110.3344	78.48803	0	66.81969	148.3515	0.03260942
12	-9171.215	0	-9171.215	122.7656	128.5418	65.16956	0	64.17718	150.8058	0.03260942
13	-9179.323	0	-9179.323	137.5247	110.8902	65.16956	0	78.08988	153.0963	0.03283203
14	-9174.883	0	-9174.883	137.5247	110.1428	65.16956	0	109.8235	152.9258	0.03162803
15	-9178.999	0	-9178.999	132.3954	103.0983	70.63956	0	110.2852	156.4762	0.03162803
16	-9180.272	0	-9180.272	135.1874	117.8511	58.90012	0	129.7119	150.8632	0.03226178
17	-9172.866	0	-9172.866	135.1874	117.8511	58.90012	0	104.3716	157.1135	0.03226178
18	-9171.402	0	-9171.402	135.1874	117.9576	65.89423	0	37.5578	167.9236	0.03226178
19	-9172.437	0	-9172.437	131.2766	128.0451	63.3711	0	21.12471	157.4434	0.03226178
20	-9165.412	0	-9165.412	133.1383	114.0026	57.21325	0	23.75706	157.456	0.03226178
21	-9148.312	0	-9148.312	133.1383	111.9146	57.21325	0	19.00743	147.994	0.03328335
22	-9162.08	0	-9162.08	131.6288	106.4992	57.21325	0	25.54514	146.152	0.03149652
23	-9166.851	0	-9166.851	134.9081	115.2437	59.13405	0	21.57819	146.483	0.03149652
24	-9154.479	0	-9154.479	130.0899	112.1951	60.88034	0	25.87736	149.8604	0.03149652
25	-9151.72	0	-9151.72	127.9267	126.7115	53.66019	0	34.95934	141.175	0.03370556
26	-9155.574	0	-9155.574	128.5865	125.0339	44.88329	0	44.0273	149.0911	0.033911
27	-9146.214	0	-9146.214	128.5865	117.783	44.88329	0	38.36415	145.7897	0.033911
28	-9157.99	0	-9157.99	130.3977	117.783	38.23325	0	36.78345	142.5466	0.033911
29	-9159.504	0	-9159.504	123.9949	125.5172	38.23325	0	62.9414	145.3253	0.03228222
30	-9156.114	0	-9156.114	118.769	125.5083	38.28169	0	41.58683	147.1687	0.03228222
31	-9148.951	0	-9148.951	123.2154	119.3981	39.76177	0	37.52314	149.3345	0.03565169
32	-9131.816	0	-9131.816	137.3245	120.7765	35.16833	0	60.28211	148.5508	0.03565169
33	-9141.469	0	-9141.469	125.0657	120.3657	18.77943	0	25.05511	157.8289	0.03565169
34	-9148.033	0	-9148.033	125.694	120.3657	18.77943	0	13.22619	155.1772	0.0323533
35	-9138.872	0	-9138.872	138.8958	122.4838	18.77943	0	8.455925	146.5989	0.03437825
36	-9130.217	0	-9130.217	128.9731	127.3243	18.39482	0	3.027215	148.1008	0.03437825
37	-9136.207	0	-9136.207	121.1354	127.3243	36.43139	0	3.390614	154.923	0.03432946
38	-9141.172	0	-9141.172	123.7624	131.3293	53.82894	0	3.489542	151.3196	0.03432946
39	-9131.135	0	-9131.135	123.0483	132.2131	50.69839	0	3.362169	155.8461	0.03432946
40	-9142.828	0	-9142.828	135.0194	118.5045	36.46527	0	4.156282	166.9785	0.03411903
41	-9125.701	0	-9125.701	154.5663	119.4904	20.54188	0	4.345746	159.446	0.03411903
42	-9126.773	0	-9126.773	122.4485	119.4904	15.81027	0	3.732806	166.9356	0.03510186
43	-9126.217	0	-9126.217	131.0809	114.411	15.81027	0	2.333574	162.3789	0.03510186
44	-9132.302	0	-9132.302	138.0835	124.1161	15.81027	0	2.267705	173.0231	0.03510186
45	-9123.854	0	-9123.854	138.0835	121.3301	34.2103	0	3.279689	165.251	0.03510186
46	-9130.873	0	-9130.873	126.6339	130.2091	40.69099	0	6.678555	166.5679	0.03510186
47	-9127.233	0	-9127.233	133.6772	134.2209	40.69099	0	5.562549	171.6903	0.03510186
48	-9121.855	0	-9121.855	133.6772	125.0005	40.69099	0	9.211039	163.8938	0.03516249
49	-9112.046	0	-9112.046	146.6431	122.4756	40.69099	0	5.745405	164.0189	0.03516249
50	-9110.153	0	-9110.153	125.5736	122.4756	38.1803	0	3.192987	166.1484	0.03516249
51	-9106.844	0	-9106.844	125.5736	128.6305	41.83321	0	3.721107	167.4681	0.03516249
52	-9106.901	0	-9106.901	125.5736	124.4802	38.93047	0	4.768043	158.9152	0.03516249
53	-9104.29	0	-9104.29	121.6549	130.1071	37.0379	0	8.143081	157.4436	0.03809984
54	-9112.497	0	-9112.497	129.2027	123.6643	30.49202	0	24.49027	168.6498	0.03809984
55	-9115.046	0	-9115.046	133.4664	121.6443	25.17228	0	27.3904	160.1478	0.03443092
56	-9114.757	0	-9114.757	136.7071	123.546	36.83916	0	28.03758	171.4788	0.0350594
57	-9111.818	0	-9111.818	135.6152	123.546	39.56373	0	29.17047	163.0033	0.0350594
58	-9120.373	0	-9120.373	123.703	113.9942	45.56069	0	28.32939	170.3204	0.03622031
59	-9148.724	0	-9148.724	164.6701	113.9942	58.47443	0	37.69766	177.1385	0.03766536
60	-9131.642	0	-9131.642	153.4902	117.46	58.47443	0	56.73191	169.5413	0.03734015
61	-9138.734	0	-9138.734	154.1852	133.2383	64.56325	0	56.56731	176.9773	0.03429323
62	-9141.137	0	-9141.137	142.2652	134.6918	56.54004	0	44.94309	175.1389	0.03359918
63	-9149.75	0	-9149.75	142.2652	121.2436	50.79966	0	83.95369	183.9161	0.03359918
64	-9166.869	0	-9166.869	132.6907	121.2436	50.79966	0	65.52488	203.2796	0.03359918
65	-9171.605	0	-9171.605	132.6907	117.5452	60.80985	0	34.70708	205.0693	0.03381371
66	-9169.09	0	-9169.09	139.506	97.56447	60.80985	0	25.94899	196.6925	0.03381371
67	-9163.586	0	-9163.586	139.506	119.7278	39.85684	0	31.3837	197.6066	0.03381371
68	-9164.136	0	-9164.136	144.4816	117.6473	39.85684	0	33.64089	192.3424	0.03381371
69	-9158.16	0	-9158.16	144.4816	103.9806	44.87876	0	19.01564	172.6843	0.03381371
70	-9148.949	0	-9148.949	146.7115	119.5528	44.52838	0	18.8743	167.5536	0.0331397
71	-9145.847	0	-9145.847	146.7115	113.1821	26.86128	0	22.53663	173.0605	0.0331397
72	-9154.134	0	-9154.134	140.3711	124.4724	33.06321	0	36.95418	156.7004	0.0331397
73	-9138.319	0	-9138.319	144.6875	111.7719	24.38539	0	42.88091	159.3173	0.0331397
74	-9121.844	0	-9121.844	148.7184	111.9296	26.43915	0	66.65192	155.7675	0.03439574
75	-9116.09	0	-9116.09	147.05	115.1904	26.16333	0	96.14996	166.1313	0.03673307
76	-9109.732	0	-9109.732	148.2788	115.1904	26.16333	0	292.8284	158.3693	0.03673307
77	-9099.465	0	-9099.465	148.2788	121.4215	25.8811	0	401.2225	167.7702	0.03673307
78	-9106.627	0	-9106.627	122.94	122.4217	25.8811	0	141.488	168.9613	0.03580277
79	-9116.15	0	-9116.15	136.2798	120.9373	19.97365	0	149.3251	170.5213	0.03609747
80	-9117.868	0	-9117.868	141.5988	112.2053	19.94258	0	103.3966	169.0116	0.03609747
81	-9115.358	0	-9115.358	143.1456	112.2053	19.94258	0	176.5957	185.2157	0.03609747
82	-9105.269	0	-9105.269	146.5449	103.1476	9.746857	0	147.888	176.639	0.03609747
83	-9106.18	0	-9106.18	140.9873	103.1476	21.94472	0	105.6809	174.73	0.03609747
84	-9105.33	0	-9105.33	151.5853	101.142	21.94472	0	118.2183	174.1248	0.03609747
85	-9104.799	0	-9104.799	147.5344	96.80318	15.84022	0	159.3581	165.2014	0.03609747
86	-9103.148	0	-9103.148	147.5344	91.54692	18.38707	0	73.80391	161.0065	0.03723621
87	-9098.055	0	-9098.055	124.6158	95.20348	24.41012	0	35.20992	155.7838	0.036433
88	-9094.182	0	-9094.182	140.0868	95.20348	28.41452	0	25.50515	156.4788	0.036433
89	-9112.713	0	-9112.713	129.4514	100.0665	52.07202	0	28.04886	166.8127	0.036433
90	-9109.056	0	-9109.056	121.225	100.0665	52.82325	0	56.43201	164.8371	0.03582802
91	-9101.854	0	-9101.854	121.225	113.1185	48.78061	0	48.24389	156.6724	0.03582802
92	-9100.355	0	-9100.355	122.4755	93.03994	48.78061	0	111.588	157.1021	0.03792933
93	-9079.454	0	-9079.454	125.2759	94.46219	49.69186	0	192.3205	157.3097	0.03792933
94	-9075.624	0	-9075.624	124.0773	94.46219	51.38754	0	118.0518	157.6951	0.03792933
95	-9078.471	0	-9078.471	123.6695	94.46219	58.62963	0	81.59923	150.1566	0.0376228
96	-9075.833	0	-9075.833	135.156	94.46219	58.62963	0	75.45281	152.7546	0.03771372
97	-9077.637	0	-9077.637	123.4503	85.92232	62.69308	0	140.5883	144.067	0.03771372
98	-9068.85	0	-9068.85	123.4503	81.74683	65.47214	0	79.11652	155.8133	0.03833523
99	-9065.716	0	-9065.716	125.8997	87.51026	65.44735	0	94.1148	146.9315	0.03833523
100	-9051.56	0	-9051.56	129.9141	94.10565	51.06106	0	108.014	146.924	0.03833523
101	-9047.268	0	-9047.268	126.6677	94.10565	51.06106	0	144.1146	151.4108	0.03833523
102	-9059.823	0	-9059.823	119.1682	105.353	35.22554	0	56.55551	151.4089	0.03949859
103	-9062.939	0	-9062.939	120.1089	109.4595	37.02678	0	57.67926	156.3252	0.03701588
104	-9073.03	0	-9073.03	119.7415	104.9975	44.52653	0	122.2877	145.4548	0.03875025
105	-9065.32	0	-9065.32	121.7122	114.0742	44.52653	0	94.33914	155.8317	0.03875025
106	-9059.643	0	-9059.643	125.9801	114.0742	48.0872	0	122.0648	152.965	0.03786784
107	-9063.15	0	-9063.15	121.7212	92.25652	49.06668	0	83.51488	157.5038	0.03786784
108	-9064.067	0	-9064.067	123.7361	101.6013	49.06668	0	41.07468	151.5796	0.03926156
109	-9058.518	0	-9058.518	125.1609	108.8903	58.85076	0	82.50969	159.1078	0.03740852
110	-9066.879	0	-9066.879	128.4434	108.8903	58.62884	0	76.0248	153.9792	0.03708614
111	-9075.447	0	-9075.447	128.4434	108.8903	51.95274	0	192.5579	150.5693	0.04017386
112	-9072.854	0	-9072.854	128.7023	93.58168	42.76062	0	24.89256	150.2358	0.03852672
113	-9080.398	0	-9080.398	130.2302	105.4792	40.30994	0	76.18874	148.3419	0.03674155
114	-9082.301	0	-9082.301	130.0402	111.2163	38.07395	0	209.1203	152.2154	0.03901679
115	-9070.318	0	-9070.318	129.5258	111.2163	45.37639	0	103.3966	150.9057	0.03715802
116	-9079.265	0	-9079.265	129.5258	111.2163	45.37639	0	79.24331	150.2456	0.03715802
117	-9060.18	0	-9060.18	125.9196	108.3169	45.76947	0	30.97539	158.9489	0.03715802
118	-9056.705	0	-9056.705	106.6961	108.3169	43.90118	0	39.99471	158.6581	0.03715802
119	-9045.873	0	-9045.873	123.826	101.2581	32.16391	0	48.25465	154.2151	0.04047386
120	-9052.4	0	-9052.4	119.7159	97.01761	32.16391	0	109.9993	158.2835	0.04047386
121	-9038.394	0	-9038.394	132.785	97.01761	32.10005	0	226.9116	156.0367	0.04047386
122	-9035.748	0	-9035.748	136.8836	97.39221	27.12737	0	159.4232	157.4387	0.03917688
123	-9052.115	0	-9052.115	125.4444	97.39221	24.70484	0	87.61896	150.858	0.04263835
124	-9044.766	0	-9044.766	137.3311	95.623	24.4131	0	31.53172	152.1569	0.04060568
125	-9034.138	0	-9034.138	116.3676	106.5649	24.4131	0	97.76649	151.2436	0.0396777
126	-9044.447	0	-9044.447	114.1285	106.5649	21.93081	0	81.6373	155.2834	0.04110148
127	-9033.967	0	-9033.967	117.3867	98.43948	20.84466	0	80.24902	149.9762	0.04023181
128	-9046.488	0	-9046.488	117.9331	95.9029	21.96623	0	164.6656	161.7546	0.04023181
129	-9045.177	0	-9045.177	117.4688	110.4783	29.081	0	247.4367	164.8779	0.04023181
130	-9038.744	0	-9038.744	120.3465	115.4907	28.53918	0	146.1334	162.0161	0.03978968
131	-9051.348	0	-9051.348	120.4028	105.9832	28.65481	0	158.1069	168.8593	0.04006179
132	-9039.067	0	-9039.067	111.3587	97.60912	26.94497	0	281.3859	161.2705	0.04006179
133	-9037.11	0	-9037.11	109.1572	107.3167	20.15608	0	200.4504	163.0141	0.04030653
134	-9042.977	0	-9042.977	108.6112	107.3167	18.04798	0	83.65564	162.0609	0.04030653
135	-9045.826	0	-9045.826	98.94481	133.4817	19.70038	0	48.5945	162.4235	0.04030653
136	-9053.368	0	-9053.368	98.94481	133.4817	19.98905	0	47.0048	163.6295	0.04030653
137	-9054.956	0	-9054.956	111.8055	131.7215	17.3626	0	187.144	164.4849	0.03833072
138	-9051.966	0	-9051.966	107.112	128.0483	26.98055	0	54.05393	161.0236	0.04113324
139	-9049.25	0	-9049.25	94.86272	126.8409	22.9442	0	25.41971	158.6518	0.03833955
140	-9061.176	0	-9061.176	98.26816	114.7839	22.9442	0	13.16436	161.7909	0.03933858
141	-9059.552	0	-9059.552	102.4468	114.7839	22.9442	0	19.5083	157.7625	0.03866893
142	-9043.498	0	-9043.498	96.56052	111.5116	25.97592	0	36.50227	166.8451	0.03821338
143	-9045.26	0	-9045.26	98.46555	108.0141	27.24416	0	51.57739	161.9337	0.03881517
144	-9037.579	0	-9037.579	98.46555	108.0141	26.1963	0	96.4752	165.437	0.04033599
145	-9037.87	0	-9037.87	114.3102	116.3875	25.44808	0	157.4869	160.9445	0.04033599
146	-9038.902	0	-9038.902	91.30929	106.1717	23.81238	0	41.05227	177.5568	0.04033599
147	-9045.08	0	-9045.08	91.30929	103.3402	23.81238	0	113.4726	168.6006	0.04033599
148	-9037.951	0	-9037.951	91.30929	103.3402	30.50594	0	159.4687	155.1296	0.04061051
149	-9039.161	0	-9039.161	91.30929	105.1956	25.84082	0	167.5658	153.3885	0.04017516
150	-9053.723	0	-9053.723	90.31368	125.293	15.98444	0	126.0892	161.4295	0.04017516
151	-9061.043	0	-9061.043	92.15827	125.293	22.74231	0	89.17831	156.2005	0.04017516
152	-9050.686	0	-9050.686	99.23452	116.8784	24.26099	0	31.87266	162.5984	0.03847228
153	-9046.842	0	-9046.842	99.23452	99.76652	29.34911	0	6.773836	152.7097	0.03772207
154	-9054.021	0	-9054.021	99.23452	95.39375	39.49591	0	1.634966	158.6052	0.03978878
155	-9043.792	0	-9043.792	99.23452	116.8521	27.95955	0	3.924152	151.1351	0.03906576
156	-9043.018	0	-9043.018	101.9267	110.4767	22.48244	0	13.24501	149.5802	0.03906576
157	-9053.119	0	-9053.119	101.9267	124.5096	33.19782	0	14.90729	144.5906	0.03929272
158	-9054.503	0	-9054.503	115.6977	118.7513	34.01918	0	34.4127	144.9949	0.03929272
159	-9051.838	0	-9051.838	123.2929	118.7513	18.25243	0	36.6104	151.5777	0.03833268
160	-9050.304	0	-9050.304	127.9884	107.946	17.39705	0	27.60438	143.0703	0.03833268
161	-9040.365	0	-9040.365	105.5635	107.946	18.71468	0	19.1122	152.3981	0.03846567
162	-9047.127	0	-9047.127	105.5635	107.946	18.71468	0	10.29546	142.7547	0.03798303
163	-9047.398	0	-9047.398	105.5635	93.03923	25.10274	0	24.87372	156.1186	0.03798303
164	-9055.313	0	-9055.313	111.5823	85.67313	20.05614	0	63.79773	155.0057	0.03798303
165	-9060.633	0	-9060.633	135.7601	84.99886	22.78438	0	34.68351	155.7045	0.03831227
166	-9063.704	0	-9063.704	107.8151	104.2097	19.48847	0	27.00397	167.6296	0.04051849
167	-9051.07	0	-9051.07	108.3517	104.2097	22.4892	0	27.74627	152.5718	0.03845344
168	-9051.023	0	-9051.023	107.3539	113.8829	19.24078	0	38.00828	147.5108	0.03845344
169	-9064.696	0	-9064.696	117.7771	113.8829	19.29986	0	48.66897	153.8408	0.03845344
170	-9061.471	0	-9061.471	118.731	109.3881	23.45552	0	30.76534	151.3087	0.03822453
171	-9065.604	0	-9065.604	104.6829	106.0661	21.13068	0	34.73556	145.4123	0.03650748
172	-9068.571	0	-9068.571	97.44384	119.0839	17.18461	0	97.43117	151.15	0.03591258
173	-9059.46	0	-9059.46	116.1354	117.0008	24.12019	0	78.28466	148.7894	0.03699668
174	-9055.367	0	-9055.367	116.1354	120.3755	19.9205	0	40.63529	149.6258	0.03699668
175	-9050.181	0	-9050.181	115.9033	120.3992	19.9205	0	30.29214	166.2935	0.03699668
176	-9051.668	0	-9051.668	116.0554	120.9101	30.95402	0	178.7634	186.6503	0.03699668
